Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144
17.11.2017 18:00;51,1328;12,6606;20,4499;27,8088;29,8394;37,8695;31,5677;57,7866;34,8365;10,5187;13,1163;64,6118;31,2336;31,0296;20,7972;58,1338;75,9;55,8;56,5;73,8;18,2;32,9;66,3;28,5;26,6;65,3;1,3;29,8;15,1127;34,4;20,5;28,1;19,8;33,2;36,6;36,2;35,79223;28,7;26,0;28,1;28,46;35,0;58,683;1,55392;30,251;37,7301;55,8629;72,9077;33,9607;67,2381;39,1445;44,5671;36,0715;35,0207;35,1709;40,1756;27,6147;48,0284;61,2121;34,8616;52,0122;32,4;20,29;19,359;42,3;37,2;30,69;39,01;34,49;34,46;43,84;55,76;41,55;42,130951;47,2;29,2674;24,0997;26,0829;19,6;31,1;32,7;6,6;35,8;24,5908;10,0635;38,8253;28,3826;26,0495;40,7812;44,1058;24,141;27,4409;57,9036;28,9699;14,6554;18,3615;15,6308;54,1077;35,7167;;39,6829;37,2532;;;36,5;;31,2;32,0;21,3;1,01;37,4656;27,7824;26,6676;23,8713;47,33;29,3667;38,5215;78,162;38,7795;47,4357;27,5286;34,7985;28,5786;37,8321;24,2909;29,2228;55,0327;18,4354;25,1442;61,4496;56,6844;10,845;47,6266;29,874;46,167;28,3556;44,6285;78,7606;71,1089;72,288;24,5049;25,5964;58,3436;13,3861
17.11.2017 19:00;52,9635;10,1485;26,0611;27,8669;41,7549;34,4342;27,225;48,7183;35,2548;18,1029;9,20681;73,5775;32,3601;35,5483;23,5978;59,4186;55,7;52,6;57,5;67,3;21,3;25,1;69,3;24,4;31,3;65,7;2,5;37,6;16,91092;34,3;20,5;28,3;19,8;30,3;34,8;38,3;38,54695;37,9;26,6;27,9;26,5;30,9;59,4787;1,69982;16,2493;36,1713;50,5501;69,8326;32,7406;56,7243;37,0386;40,2641;36,5878;31,4422;33,3168;37,4683;27,8739;50,3801;64,0564;34,2123;51,6166;28,0;18,69;15,057;39,6;35,3;33,29;34,41;30,09;33,26;38,54;66,63;39,55;36,931383;42,9;28,7591;21,7596;26,0425;22,1;31,1;28,8;9,1;34,6;23,3917;10,5346;38,8874;28,1616;25,7307;41,4371;55,401;25,2292;19,6199;68,2948;45,0853;15,7379;14,8965;15,533;51,8739;22,3859;;34,5706;53,884;23,0086;;34,7;;31,6;33,0;23,9;9,585;36,0635;25,7355;24,5145;22,2976;44,1359;29,7714;34,1839;73,9078;32,7431;43,2399;27,5163;35,4458;26,7786;32,3494;24,3366;29,2499;59,8031;17,7175;22,7321;56,3272;41,039;9,03081;49,7652;30,4001;43,2107;28,7591;46,7818;72,1445;68,9243;46,34;14,3506;19,1817;54,0475;10,7797
17.11.2017 20:00;52,1234;8,43298;26,6225;32,476;35,3115;37,235;27,9964;45,7297;35,4162;19,4509;31,3265;61,1404;35,3794;43,7216;29,1766;55,977;52,7;55,8;44,1;56,8;10,9;24,8;56,2;18,1;20,2;69,8;3,3;40,2;16,49006;33,8;19,4;24,1;20,9;27,2;29,9;36,1;36,19396;35,2;20,6;36,0;27,69;30,4;49,0093;1,86128;13,3325;36,0008;52,3595;75,4465;32,4814;70,4004;36,2473;37,9675;34,8272;32,2366;33,3498;37,3085;28,3987;51,6097;63,489;33,2096;47,2073;27,8;11,99;16,969;37,8;40,3;31,99;32,21;30,89;37,26;34,04;61,92;41,65;44,631816;42,0;27,5509;18,7535;24,5575;25,4;35,1;30,7;14,2;26,7;26,3288;15,0958;35,978;28,4522;23,4328;40,0087;51,3423;23,1394;13,9918;57,9273;37,1806;11,8378;10,4959;13,1094;32,6282;19,8485;;30,8068;46,9858;24,0342;;32,4;;28,8;33,0;24,0;11,535;38,4928;26,179;23,2266;22,3104;37,7068;26,5248;31,3329;52,3612;29,2011;39,504;26,7292;33,9153;25,8662;26,1041;22,4039;28,065;47,9965;13,8316;17,6945;54,3029;48,4596;9,15364;45,9467;30,5934;46,6144;23,2472;50,3965;63,8911;67,0457;27,5848;9,53344;8,77722;47,4898;7,5089
17.11.2017 21:00;46,946;9,13139;19,7711;40,8685;29,3864;49,3514;15,8743;42,7831;33,8627;22,9913;42,9531;72,1807;35,0719;42,9988;27,5652;49,1984;44,9;53,6;32,4;46,0;9,2;22,0;41,9;;23,8;64,3;13,2;37,8;19,39782;32,2;18,8;22,1;24,0;32,5;38,5;37,9;39,13998;33,6;17,7;38,1;29,33;34,4;46,4101;2,04393;12,8816;33,3979;44,1444;65,1248;32,3675;60,1451;35,098;38,5518;34,33;34,9381;32,5876;36,592;27,4639;48,4193;56,6658;33,6348;45,7117;25,7;9,09;15,6545;38,2;30,6;32,19;30,51;30,89;38,16;28,84;55,69;38,35;49,432249;45,1;22,2435;15,9325;21,7187;17,3;34,6;29,4;15,3;20,8;24,3072;18,7413;35,2212;27,3225;21,4037;36,9584;44,3445;20,1403;10,4296;28,1058;36,1908;8,95;13,7077;10,7186;28,2517;20,5648;;22,272;19,7605;17,9381;;29,0;;24,7;30,0;24,3;3,29;36,976;26,8519;22,2891;20,0372;25,8396;23,7545;25,4556;32,0372;28,2926;28,1526;26,8971;30,6307;26,3351;22,4161;23,934;25,7137;44,6144;12,6894;14,8244;50,0917;37,13;9,21957;39,8337;30,9519;46,1897;15,4046;45,1679;61,6041;61,7788;23,7205;8,82707;10,9801;42,1102;7,15194
17.11.2017 22:00;43,5292;8,15362;24,0631;42,7881;25,8274;45,8248;18,4273;45,5263;37,6082;26,6294;44,4763;60,6125;37,2978;39,9783;34,236;37,1576;43,4;42,9;41,1;42,7;19,2;24,0;35,9;;36,8;53,4;1,3;33,1;23,05165;31,0;18,6;22,7;23,8;33,3;32,7;28,4;34,01314;25,4;15,5;39,5;28,93;31,6;48,2467;2,7732;13,7103;26,0818;38,5178;54,2238;32,6838;44,7392;34,9524;36,704;33,5456;30,3226;32,2026;36,6105;26,6125;44,7743;52,3594;31,8794;45,606;19,7;15,99;11,472;43,2;27,7;23,19;29,51;30,89;34,26;28,44;57,7;33,15;46,232681;42,7;16,1256;13,138;18,062;9,0;36,5;27,6;13,3;17,7;23,8762;14,2189;33,81;27,3055;21,1737;35,7617;30,944;16,8176;8,0687;22,5319;20,5684;7,4279;11,1668;10,1203;18,785;17,3589;;;10,9536;13,7502;;26,5;;26,2;29,0;24,1;0,8;29,1899;26,9417;19,9772;18,9341;25,4896;22,3592;25,1364;27,9657;24,6119;26,1694;24,2691;23,6786;26,0972;20,955;22,1734;26,9113;44,1943;13,0054;11,5713;48,4766;26,2927;8,95969;46,4012;31,8342;42,8652;11,633;36,562;59,6926;56,8562;25,3882;7,98419;14,4852;51,8343;8,34907
17.11.2017 23:00;39,8979;6,65429;22,552;46,8787;24,6308;40,2062;12,6035;38,2873;39,0166;30,7157;39,2077;52,9162;33,1074;42,2085;35,0204;29,6291;38,2;38,9;37,8;40,9;17,8;20,8;35,0;;38,6;40,4;0,7;28,4;25,09856;30,6;17,9;24,0;26,5;39,3;24,6;24,4;31,52624;20,6;12,9;34,5;22,9;23,9;37,3111;2,89402;14,7697;28,3672;37,0147;22,6705;32,1691;46,0611;34,3879;35,449;32,1812;27,8621;30,8689;34,4178;26,8526;44,0785;53,7364;28,6607;46,3979;15,9;13,09;10,038;38,9;31,4;13,89;30,71;29,99;32,56;26,94;50,89;32,25;53,033114;42,6;16,4267;12,0505;13,5056;9,3;17,7;14,3;8,8;13,4;20,8668;10,8262;32,214;27,0102;19,4187;34,1498;13,5609;14,0529;5,7232;12,9994;13,5273;6,6773;9,0079;7,5526;15,6286;7,82875;;11,966;10,2738;9,8323;;25,7;;26,7;28,0;23,0;0,035;32,4955;26,1822;23,4278;14,9157;22,9966;19,6941;29,5388;28,7283;21,2006;25,7562;21,4218;31,0388;20,913;18,7944;11,4826;26,6857;35,1399;11,6879;9,57859;36,601;18,6712;9,08312;33,1103;31,786;41,7328;9,42788;33,8788;52,4632;54,0764;19,6022;7,82167;8,32009;42,4443;8,3326
18.11.2017 00:00;34,5897;6,17682;22,0709;43,1896;25,2288;36,1931;10,9653;32,5699;30,3893;29,4188;35,7533;44,7111;31,7222;39,2162;26,7229;28,6311;24,9;25,5;28,3;37,9;11,9;13,5;34,8;9,6;21,3;44,1;0,3;26,4;31,87058;29,5;17,5;23,2;23,7;35,9;18,4;18,3;24,42901;12,0;10,4;15,6;19,28;18,8;31,45;3,74444;12,6739;22,9668;26,3043;22,5786;30,7946;36,1527;31,5974;32,5545;29,8968;25,1681;29,3123;32,9378;24,8535;38,4482;46,5275;25,621;47,0777;12,5;14,59;9,9185;31,0;18,2;16,39;29,71;29,29;27,76;25,64;50,76;41,75;38,533547;31,1;15,5897;9,03322;11,1167;8,3;13,0;12,0;6,1;11,1;26,2323;8,99968;31,1141;28,6747;20,3284;36,3098;10,8878;11,2654;4,9649;10,5091;9,5827;5,0787;7,0519;5,5833;13,2864;6,52617;;10,5199;8,92479;8,0755;;27,4;;26,2;30,0;18,5;0,43;30,2696;25,1439;21,3331;13,9183;14,6523;16,7592;24,07;24,1342;15,608;15,3178;23,9719;36,9809;16,6838;17,609;8,78298;25,5698;20,7686;9,58876;8,20195;26,554;15,2615;8,89596;29,8772;31,3257;40,2078;12,5234;30,5198;42,1904;49,5929;12,7461;7,80999;9,7092;25,5767;8,9933
18.11.2017 01:00;34,7038;13,6166;29,4177;35,5718;22,6699;29,628;20,99;28,2864;30,4319;27,4898;31,7472;37,1999;29,2763;31,9809;23,5532;23,4656;21,4;13,5;21,5;31,7;9,4;12,8;22,9;9,1;19,4;34,0;0,1;24,8;32,78882;28,3;17,1;22,4;24,0;25,3;15,0;15,6;20,31606;10,9;8,9;12,4;15,37;16,0;;4,38002;11,531;25,2076;18,5878;24,002;28,5502;37,1863;28,4357;30,2176;28,4687;20,1235;28,0397;31,4461;22,163;36,2744;43,6112;25,1866;46,759;10,934389;14,79;12,667;21,5;22,1;21,39;24,61;25,19;23,26;22,34;43,19;37,45;26,533979;34,1;13,4143;9,8508;11,3562;8,3;10,9;11,6;4,9;11,0;25,7173;9,53132;28,9519;27,8435;19,3349;34,8386;11,4846;10,2495;4,4638;6,9665;8,2202;5,1206;;5,3096;14,9982;5,84197;;8,81904;10,243;7,0754;;22,4;;17,0;18,0;33,9;1,73;28,4336;25,3983;17,4226;20,1259;13,6188;11,3658;27,2986;25,5533;12,9314;15,9849;23,9453;33,6865;12,9527;15,0549;10,1124;26,7988;14,8881;8,24627;8,49247;21,809;13,9215;8,08449;26,7624;32,665;36,8615;21,0617;22,6742;37,5873;45,1627;7,25976;7,0027;8,65721;17,5978;9,23124
18.11.2017 02:00;29,8987;5,97447;20,5991;29,3375;16,0983;29,9632;18,4509;27,9864;26,8184;23,0614;29,4958;32,6648;23,4682;27,7431;20,8998;22,3699;14,6;8,8;20,3;29,1;7,8;18,0;18,4;;17,3;31,7;0,8;23,7;27,96806;26,9;17,4;21,0;23,7;22,4;15,1;15,3;20,2778;12,1;10,5;11,5;13,48;17,9;20,0208;4,22223;9,48777;18,4216;16,0082;14,254;26,4523;32,2708;26,9231;27,7909;25,7085;18,0774;25,8308;29,0824;23,07;35,1622;41,4401;20,4453;42,056;10,9;13,49;10,6355;20,2;14,5;20,89;20,61;19,99;18,46;18,94;32,04;26,45;30,334412;31,0;12,3605;12,0687;15,8638;6,0;9,0;13,2;4,3;11,0;28,3063;17,7253;26,5768;26,4748;17,2092;33,113;9,2733;7,9843;4,1679;6,8071;7,4567;4,9863;5,6156;5,4069;9,19046;5,99191;;9,35435;10,0221;6,738;;17,7;;15,4;13,0;17,4;2,26;26,2629;19,4068;14,8191;15,1919;15,1643;10,43;22,2764;21,5493;11,4808;17,7928;22,0252;35,7472;10,6865;12,5257;8,38253;23,6626;13,3065;6,31408;8,17061;16,2408;13,6538;6,70375;21,7913;33,4707;34,0717;32,6144;16,8476;32,2246;41,0738;7,02448;6,8115;8,0068;17,0959;10,5638
18.11.2017 03:00;23,2772;3,48674;23,4135;26,199;14,1807;26,1912;20,5012;27,3565;25,0761;21,1536;28,0129;40,8042;26,4121;31,0201;18,4678;22,3072;14,1;10,1;18,4;18,9;5,9;16,2;24,2;;17,4;28,4;0,7;23,0;25,57681;25,7;18,0;21,8;24,8;21,5;17,4;13,1;17,69525;15,7;10,8;13,3;14,46;17,7;20,8403;4,43669;9,57753;21,9434;15,9873;12,8917;25,2384;31,0472;24,6521;26,5104;24,0488;17,1346;24,5583;26,4841;23,9325;32,0196;36,575;11,8196;39,3314;8,7;14,29;9,56;16,7;13,8;20,59;22,11;19,69;22,16;17,24;30,09;27,15;25,034845;24,5;23,4592;16,9362;28,1526;4,5;7,6;7,1;6,3;16,0;26,0001;25,7297;25,1667;24,9861;15,8894;31,9032;10,4044;8,3445;4,3566;8,9857;9,537;5,6613;6,3102;5,662;9,86246;5,43839;;7,94547;7,52053;6,4415;;16,3;;13,1;13,0;15,7;9,465;23,3174;19,8742;19,8397;16,1559;13,1041;7,21886;18,5947;20,194;11,5817;12,9389;21,9365;26,104;10,8352;8,40749;8,254;22,244;11,114;5,97129;7,16734;16,3104;13,9964;5,58266;25,1523;33,7228;31,3881;30,6095;11,7832;32,5417;36,9387;6,53054;7,51257;7,25356;19,0122;13,4323
18.11.2017 04:00;20,8865;4,61058;11,3849;20,5446;12,7116;24,8677;18,6872;26,1094;17,6672;18,3228;30,5421;40,8812;25,3138;27,6523;18,4699;19,1041;12,6;8,5;18,5;19,1;11,6;17,1;27,2;6,9;17,5;31,1;1,0;23,0;25,28986;25,2;18,7;22,7;22,3;18,6;16,3;14,7;17,08309;15,5;9,4;15,4;13,36;18,7;19,12;6,24358;9,48193;20,7101;18,5522;8,31826;26,1503;32,5428;24,7471;26,2826;29,2016;16,7157;23,2767;25,2947;24,5513;28,51;32,8766;11,816;37,7551;8,7;13,89;9,4405;15,8;13,3;14,79;20,61;20,49;26,76;13,04;27,24;23,65;20,035278;22,1;40,8839;20,6325;32,5964;3,6;7,3;10,3;5,7;13,2;25,5705;27,2168;23,8687;23,098;15,0049;31,0082;9,4132;8,0768;4,7832;7,7186;17,6735;5,7652;6,7837;5,4531;8,82231;5,18821;;8,56991;6,85505;6,6052;;15,5;;11,6;13,0;14,3;7,425;20,562;20,3081;15,3937;11,9845;11,7885;9,30507;18,2352;15,7113;11,8375;14,2699;19,8078;19,3691;9,43147;7,86204;8,03571;17,0658;8,74899;5,17017;6,21506;20,1201;14,4653;4,83062;20,8405;33,4876;29,2492;18,6471;10,7466;27,9099;29,495;6,46787;8,69216;5,36938;10,9866;18,2559
18.11.2017 05:00;20,3295;1,15251;20,8658;21,3112;10,8299;15,7607;14,8404;27,7819;17,3636;16,1224;33,0553;46,0946;28,4352;30,7758;16,6195;18,112;14,4;8,1;17,9;28,8;16,0;15,9;28,6;8,4;18,5;32,3;5,0;22,2;27,71937;25,1;12,0;20,8;19,1;16,7;16,1;15,5;17,19787;18,8;9,5;13,8;16,75;16,8;17,7481;7,62463;11,0062;19,4353;19,5305;11,9633;24,4117;30,9383;28,834;12,5146;28,4278;15,8199;24,4813;21,8625;24,3495;26,4993;32,071;11,5401;35,8447;8,4;13,89;8,126;16,6;11,7;12,19;17,51;19,49;21,26;10,14;30,49;18,65;19,13571;19,1;37,3137;22,2715;19,922;4,6;6,5;6,0;4,7;12,0;24,1633;29,8692;22,0177;22,4899;15,659;30,1234;9,8844;8,2519;7,3945;8,3763;21,5522;8,4933;6,9115;6,1158;8,56797;4,95231;;8,35218;6,39776;6,8177;;13,4;;11,4;12,0;13,7;12,09;17,037;19,1747;19,3597;11,9495;11,3998;11,1087;13,6602;16,6009;20,7811;11,3169;14,5333;25,3928;10,7486;7,59383;9,46228;10,798;9,97852;4,88116;6,08282;17,2101;14,4345;4,45613;17,1825;33,0699;25,94;12,9535;12,2431;25,9814;26,77;7,04147;11,335;7,0462;12,6261;18,2899
18.11.2017 06:00;22,9139;4,17931;15,9153;21,2191;11,0439;11,3281;17,2005;34,6494;17,8451;13,0122;36,9685;43,6639;28,1022;36,8432;17,8517;16,5754;20,0;14,6;17,5;28,1;17,2;16,4;28,6;;31,3;43,6;5,1;14,6;26,99243;24,8;6,0;22,9;14,6;17,5;18,3;17,7;18,51784;24,4;10,9;17,4;20,37;20,3;18,7301;8,52709;8,16195;19,4918;17,9154;15,0697;15,7133;33,1174;23,1496;13,913;24,5008;15,4715;21,6791;10,1521;23,3212;25,1635;31,0311;13,8217;34,407;7,3;12,19;7,7675;14,5;14,0;10,79;17,11;20,49;24,66;13,54;31,6;20,55;21,736143;16,0;21,0177;22,5294;22,7039;6,2;10,2;9,8;4,4;14,4;23,0577;28,1542;21,6411;21,493;17,1407;28,6613;11,8047;9,7407;5,7674;12,4954;26,2254;10,6438;14,2345;7,0425;8,94504;5,45259;;8,48622;7,75475;7,2503;;16,6;;11,1;12,0;12,6;16,83;15,8648;17,3923;21,3942;13,4042;15,9105;11,9187;17,0577;19,4392;23,7464;13,4015;13,2459;24,201;8,44573;7,69792;11,1486;16,133;12,0838;5,13821;5,27553;19,9071;14,6034;3,81493;16,18;31,4183;22,9997;13,6535;19,3165;23,3567;25,5524;10,5665;14,3262;7,75611;14,5971;17,8745
18.11.2017 07:00;29,2285;2,63484;15,9902;26,5724;11,882;12,4652;12,7246;38,8196;19,0095;14,1052;36,3397;57,8524;23,4964;40,399;18,6447;19,2522;24,2;18,7;20,5;31,7;11,3;26,3;30,9;16,8;29,4;40,4;5,1;9,0;25,0603;17,3;7,9;25,3;13,4;20,0;22,0;19,8;19,68477;27,4;10,7;23,0;19,2;21,0;20,4245;9,63282;8,41707;20,7086;16,337;18,3541;8,05398;45,3128;25,3914;17,3291;22,3519;16,4214;19,8686;11,0187;22,2712;23,5357;29,3315;14,6956;29,5579;7,2;12,59;8,7235;12,4;13,4;10,59;20,81;25,79;31,26;12,94;39,3;25,35;22,636576;15,5;19,2198;24,3188;22,3077;6,2;8,5;10,0;3,4;14,8;22,6731;24,6202;20,5667;21,8488;18,9648;28,4047;14,8053;10,4636;6,3691;11,4513;38,6055;14,8589;14,5244;9,1999;8,96056;5,93951;;9,53867;8,72377;10,3929;;19,0;;12,8;17,0;11,5;16,705;16,722;18,0626;39,1546;19,4806;19,2783;10,4799;20,579;48,9499;20,953;16,8304;10,2159;19,4493;11,774;10,8325;11,3238;15,2838;15,987;6,49923;5,48478;19,5576;14,4515;3,56314;15,668;31,5632;22,4122;14,2322;22,6271;23,772;24,8642;13,1071;14,4011;9,69542;16,9748;14,5514
18.11.2017 08:00;31,3069;1,38567;12,5533;52,5079;14,269;10,7189;20,1499;38,5853;16,7628;12,4593;40,3777;65,5729;18,9368;47,6534;26,5014;17,848;26,2;23,3;18,9;37,2;10,6;25,3;30,5;18,3;26,0;45,7;8,9;11,3;24,2951;16,3;8,6;25,8;14,2;24,2;32,2;24,4;25,11769;25,1;10,7;29,7;20,16;27,2;22,0923;12,1037;10,067;20,3724;14,8153;22,5993;9,75274;66,2821;27,7022;17,4905;34,218;15,989;30,3617;10,9771;20,6482;18,7541;26,5547;15,166;30,8294;6,9;12,69;10,038;11,1;12,8;9,69;21,81;32,09;35,96;15,24;46,95;28,65;23,237008;15,1;23,0168;26,5904;15,8776;6,7;10,9;13,1;2,7;12,8;21,0586;19,573;20,1539;20,4218;19,7928;27,6792;16,6175;12,1729;8,4993;12,3401;40,7568;17,0686;17,7741;12,5371;12,6774;7,23761;;10,5914;12,4747;9,4167;;25,5;;19,6;31,0;12,8;15,955;19,3346;20,4026;31,4784;26,666;26,512;15,091;25,735;41,9472;21,9296;27,2003;15,6683;22,2632;17,3981;15,4745;16,2053;16,4671;15,9774;8,23182;8,05058;29,0826;15,0554;3,38046;17,1399;32,256;23,7319;13,6899;18,9922;26,23;28,8157;20,0824;14,0447;11,6;18,5071;15,0798
18.11.2017 09:00;28,8944;2,48932;12,8571;47,4991;18,2769;11,557;18,6684;43,7816;17,54;12,7472;34,1671;61,099;21,7718;47,9631;21,7899;18,2028;27,0;24,1;14,7;40,0;9,1;22,5;22,6;9,9;29,6;36,6;8,8;12,6;37,05481;14,5;6,1;25,1;13,2;28,3;33,6;22,4;28,52283;16,6;25,9;27,5;22,01;31,9;22,8403;14,6717;13,956;21,0522;14,6608;20,9189;11,337;73,1048;19,8954;17,8177;37,0759;10,7417;26,4952;8,96619;13,0851;15,3427;28,3342;16,6446;29,1925;7,2;13,49;8,365;10,6;14,0;10,89;18,11;32,39;37,36;18,74;50,82;29,55;25,337441;16,0;22,074;22,1951;13,6458;7,4;10,8;14,3;2,6;12,7;20,6873;19,0632;20,2422;19,0727;18,8095;28,1817;15,1225;11,8823;10,8495;12,1015;19,355;18,456;17,357;12,3447;12,2034;9,14478;;11,0031;13,1928;9,4252;;12,7;;12,9;;13,7;15,365;28,7403;17,7142;40,9328;23,0165;27,2675;20,3219;32,1652;72,6025;20,7604;31,1663;19,1961;23,8485;18,9828;17,1533;12,7453;19,4878;16,8851;8,94796;5,92561;30,6903;15,5398;3,64622;16,8565;31,737;18,1365;15,6997;18,7149;26,3856;28,8865;17,5203;14,109;12,8959;18,2283;13,7448
18.11.2017 10:00;27,8547;7,45414;10,2186;43,427;15,4247;11,1852;18,5363;49,874;12,6417;16,1691;16,7102;50,4354;20,477;47,4686;11,7779;18,2978;25,9;26,6;13,7;29,4;10,1;19,4;18,6;6,2;26,1;31,8;8,5;15,0;23,43425;12,7;8,2;23,8;10,5;24,4;31,4;16,9;22,51601;15,2;20,3;17,9;20,21;30,9;22,4775;17,5166;14,4871;13,7043;11,5908;20,2428;13,7316;66,2837;36,6079;28,2732;36,8353;11,0137;24,1552;7,7043;6,60558;21,3082;29,3453;18,1933;27,0421;8,1;12,29;8,365;11,2;18,6;8,99;18,91;24,39;31,76;16,14;54,73;26,55;31,237874;17,8;20,2481;14,6252;10,4666;7,2;7,1;11,1;20,9;13,2;18,1615;20,3676;13,0574;18,701;23,9275;25,7173;11,8218;12,4879;9,91;11,6238;13,787;13,7709;15,4456;11,4286;14,8174;8,30413;;13,0975;12,5148;9,7058;;9,9;;11,1;;9,0;23,825;33,6637;17,3964;46,1001;19,7205;35,6463;28,1584;30,2983;66,0003;20,1626;34,8408;17,3832;18,8576;16,448;22,6551;6,35948;23,5668;18,9129;8,59724;6,74564;20,118;16,7874;5,00319;;;;;;;;16,1341;13,4541;14,6691;21,0144;13,6248
18.11.2017 11:00;22,0922;4,15541;8,53761;21,5741;14,2609;15,637;14,6463;41,4888;8,83273;11,5527;8,61292;60,1191;18,9904;39,2459;10,277;18,3759;28,5;25,8;14,2;32,8;8,2;18,2;18,7;5,4;24,0;29,9;8,1;15,5;22,93687;14,2;14,2;24,3;7,9;17,7;25,8;14,4;20,87083;13,7;12,8;17,8;15,18;21,5;22,1287;17,8724;14,3299;14,1244;10,8543;19,1078;11,1197;75,1395;28,6874;21,8664;31,8997;10,883;23,9401;7,47208;6,22583;18,0201;33,2905;22,4966;26,076;9,2;11,99;7,5285;10,4;14,7;11,69;20,01;22,89;24,76;22,54;53,69;27,35;29,638307;17,9;11,8549;9,31342;9,22062;8,3;7,2;12,7;;14,5;16,1941;18,9277;15,4059;17,2516;25,4609;26,813;10,1991;14,0307;8,5398;11,6398;20,6609;12,9765;11,8953;11,4647;14,5811;8,84977;;13,9569;14,2224;9,0612;;11,5;;11,2;;6,6;24,385;36,1708;18,7546;41,4989;8,1653;34,5084;24,6409;30,5113;74,9833;20,1446;38,8911;17,3185;16,7919;13,231;35,0363;3,53508;21,8637;17,9011;8,54316;7,04678;19,419;15,7628;6,33191;15,6943;30,816;18,3856;14,4886;19,4312;23,8878;26,9433;16,3965;13,3548;13,2849;19,4087;14,6008
18.11.2017 12:00;19,0466;3,25146;9,61311;13,7783;11,4741;22,2387;15,6787;19,7934;7,60531;10,2435;9,31149;56,224;16,0794;31,8927;9,71455;17,7609;28,2;27,8;13,2;32,2;9,4;17,3;19,0;6,4;20,2;33,0;8,8;11,9;24,62031;15,0;7,1;27,3;7,3;14,9;20,2;11,4;16,71962;9,9;5,0;13,3;16,06;18,5;22,5032;19,0438;14,8573;12,9708;14,016;18,6516;17,0977;67,2673;32,6469;39,4844;28,7029;9,32227;23,4785;8,92779;7,10376;23,1734;39,9571;20,296;17,9117;9,4;11,49;8,0065;10,4;15,9;10,89;20,11;18,89;22,76;22,84;54,5;27,25;33,238739;18,9;8,2147;6,65398;6,48009;15,9;6,4;10,9;10,4;13,7;9,87849;15,8069;18,369;15,5334;22,4092;25,908;9,4122;12,7856;9,2157;10,9895;11,4046;14,3492;14,6784;12,4409;14,2261;11,0612;;14,6173;11,2973;9,2286;;12,1;;10,3;;9,0;19,375;29,4124;13,4754;33,7378;6,13699;29,2382;12,0945;25,5225;73,5245;11,8662;26,7861;16,6774;18,2296;7,63366;27,8462;3,15799;27,6337;19,9018;6,12642;6,87576;19,4679;16,3534;6,02507;15,0447;30,2328;20,3317;13,7938;18,3218;23,9255;27,5219;17,5198;13,6081;12,2998;18,8783;14,852
18.11.2017 13:00;19,4652;2,99494;9,97905;14,3141;11,1247;15,3719;15,5072;17,661;8,96363;10,405;14,3273;62,5999;14,3166;18,4699;7,89019;18,1852;35,2;27,7;13,7;34,1;10,6;16,9;18,9;6,1;22,0;29,2;8,1;12,7;23,9125;23,1;7,8;29,1;6,9;13,2;18,7;10,6;19,81868;10,6;5,0;12,8;14,71;17,8;24,3405;14,3035;13,4817;12,9357;13,1886;22,4787;16,1505;70,446;30,131;35,8835;26,5859;9,66845;25,8696;28,7228;6,25982;17,7561;37,6191;24,6296;16,5053;6,7;11,49;5,975;11,5;20,4;10,59;16,51;17,79;22,76;18,14;65,87;31,65;32,439172;22,3;6,57409;7,5082;5,0121;10,2;6,7;12,2;2,1;16,4;10,2194;10,2558;15,2886;21,1266;19,3545;25,3652;10,5947;11,9661;8,141;10,3285;16,3251;9,2889;13,4655;15,4634;14,4174;13,7763;;15,0539;12,2814;10,6288;;8,0;;10,1;;7,5;16,4;20,9258;10,7858;39,1201;6,07166;25,4397;5,98456;14,6215;66,1628;11,7554;27,5933;15,1389;12,6253;5,77955;9,34331;2,50047;23,3859;20,3347;9,17493;7,1307;18,5374;17,6934;4,07632;14,4777;29,4645;18,2877;13,9318;16,9531;24,72;25,0351;15,6842;12,3483;12,2666;18,8045;13,9002
