Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141
03.12.2018 01:00;4,96854;12,6771;9,02597;8,64012;8,59444;12,1154;18,4598;11,1682;;9,49042;8,03677;24,1571;10,627;19,9859;9,70942;9,77244;10,0;16,3;9,9;8,7;12,4;9,4;9,5;11,1;11,9;12,0;11,3;15,8;4,09382;13,5;6,1;10,4;7,8;10,4;12,2;11,9;10,3;7,7;12,7;13,5;8,7;18,4418;12,465;10,1325;9,68479;13,1067;13,7207;38,7138;43,1757;51,7686;18,2236;47,7395;7,62512;27,4792;6,13816;4,05132;7,46264;6,71367;16,4158;16,9998;8,795815;;3,99;9,36;19,75;11,27;12,404631;12,24375;14,84;11,47;22,39;12,96;20,4;8,06492;8,3647;10,0136;8,6;4,0;2,4;10,1;20,0591;6,67379;10,943;4,34396;6,96489;5,2208;9,11081;13,11;11,862;10,9803;23,3767;19,9552;10,7801;13,9107;11,0879;11,4642;9,50495;10,9057;10,2563;12,7145;;;9,1;25,0;;1,04;6,83527;6,69997;10,747;8,02509;16,0284;6,33084;23,4767;37,822;8,91255;17,0471;8,64277;6,1097;16,5569;23,4172;20,2769;7,62676;14,0346;11,7137;13,6878;19,299;15,56;7,07486;12,0718;9,93802;7,56454;17,1321;9,18515;13,1854;15,2817;8,3742;11,8762;12,1439;12,2552;15,2599;9,45325
03.12.2018 02:00;4,22446;12,394;9,08085;7,78768;8,6688;10,9994;11,8512;9,87005;;8,24816;8,44042;23,5187;10,4932;20,9827;9,92072;9,30666;10,0;14,8;9,8;9,3;11,5;7,5;9,1;8,5;11,6;11,8;10,4;16,2;4,0173;10,3;5,8;11,0;8,1;10,6;11,6;11,7;10,4;7,7;10,2;11,6;8,8;21,1454;12,2403;9,49467;17,7758;12,9459;14,3565;11,9861;38,4504;44,4067;;47,4622;;;6,16058;;;7,53159;;9,72677;8,355824;;4,19;9,16;17,35;10,47;11,126588;9,30525;9,84;10,87;17,49;11,26;22,05;7,10786;9,12997;10,6328;7,2;3,8;2,5;10,2;23,0221;6,581;10,2308;4,45602;6,79942;5,28689;9,22098;11,7145;11,6252;10,4062;22,6352;15,8848;11,2195;11,9913;11,3872;11,6763;9,68342;10,648;10,1298;11,825;;;8,6;15,0;;0,955;5,85469;6,37386;10,2255;7,53062;19,743;5,75937;16,9653;34,2668;8,40947;16,7544;10,704;6,33508;16,1729;25,4779;15,107;7,47539;13,2603;11,1526;11,5071;17,9308;14,6289;6,63092;12,0044;9,66348;6,44541;17,8903;9,52941;12,5286;14,4637;9,35142;11,7191;10,1904;10,3932;14,9242;8,44945
03.12.2018 03:00;4,29722;10,6068;9,03548;7,20293;8,66466;9,66861;13,06;11,3523;;7,69368;8,12281;22,0061;11,7577;20,3391;10,0141;9,23284;10,2;14,6;9,3;8,4;12,4;7,6;8,9;8,3;10,6;13,2;9,8;16,1;4,07469;8,1;6,0;11,6;7,8;11,5;12,2;11,8;10,2;7,9;9,7;11,7;8,9;22,7958;10,4616;9,60621;19,0292;15,4472;15,8776;7,39758;44,718;43,9633;23,2032;44,019;10,8965;13,0452;8,68108;4,11611;7,9895;7,42535;13,5725;10,8341;9,042703;;4,29;8,66;15,55;9,17;11,848544;7,93395;8,84;11,27;15,49;10,76;18,9;7,37713;15,5278;10,9887;7,1;4,8;2,6;10,2;14,2164;6,50292;9,88716;5,75406;6,26038;5,00094;10,0989;11,282;11,2922;10,4805;24,6839;12,1364;10,7869;11,3452;11,8251;11,0629;9,89698;10,2012;10,0799;12,0662;;;8,1;17,0;0,0;1,3;6,63775;6,27614;11,2213;7,7675;19,3887;6,3898;12,8423;29,9478;8,76474;17,7832;16,1723;6,43577;16,6419;12,1269;13,3619;7,99004;13,7158;10,379;10,8474;16,8607;14,4287;6,47534;12,4616;9,44001;5,91901;19,2077;9,6832;13,7315;15,3135;10,8097;10,5218;8,18006;8,29029;8,8754;8,61462
03.12.2018 04:00;3,94828;11,2011;8,45348;6,84337;8,50647;11,2193;16,5064;8,20673;;6,97933;8,93116;23,3784;11,4768;21,4336;9,53846;9,07669;9,4;15,1;9,5;9,0;11,8;7,8;8,6;8,6;11,1;14,4;9,5;15,5;3,99817;8,2;6,4;10,4;7,5;11,9;11,7;11,6;9,6;7,9;10,0;12,7;8,6;21,5615;10,4583;9,22593;17,6334;15,8772;14,6682;8,85235;;44,5076;33,0383;45,4663;14,1242;18,9415;10,4264;4,31953;8,19133;7,70783;18,2827;15,9652;9,998879;;4,49;9,36;16,35;8,27;11,470501;8,12985;8,74;12,17;15,89;11,16;21,75;7,42865;17,0747;11,0195;6,8;5,7;2,8;10,0;8,00586;6,42166;10,4995;5,24738;6,53946;5,28562;11,6709;10,9838;11,1772;10,9709;24,6723;10,9126;12,5525;11,4084;11,8816;11,2559;9,73292;10,3995;9,92369;12,4217;;;9,5;12,0;;2,42;6,88803;6,26552;10,7178;8,05164;18,4588;6,8269;11,813;28,8824;10,3734;18,7912;13,2719;6,58152;16,7555;12,0711;12,7656;7,81742;12,5383;11,388;10,9988;15,4059;13,4732;6,51036;12,952;10,7305;6,39457;19,1506;9,81787;14,0652;15,9455;11,555;10,8246;;9,48342;7,45361;9,34278
03.12.2018 05:00;4,33971;10,3121;8,51154;7,60286;8,5886;13,2028;11,8013;8,16888;;6,83062;12,4758;31,4322;11,6935;16,3014;9,87181;8,42608;13,9;18,2;10,2;10,9;10,2;7,6;8,5;7,8;10,3;15,8;9,8;16,1;3,76861;9,3;7,2;10,8;7,9;12,6;13,0;10,3;9,5;7,5;12,0;13,4;10,0;19,1566;10,3264;9,48246;10,0736;14,6069;14,0649;9,79634;46,2081;48,2031;35,585;43,3849;25,8114;18,4901;12,2948;4,22286;8,28162;9,60317;15,1863;21,5796;9,981609;;4,49;10,86;17,45;9,17;12,692457;9,10935;10,14;13,77;23,69;15,16;16,95;7,39838;17,5042;11,5835;7,8;7,6;3,0;10,4;19,3992;5,96597;10,4347;4,73432;6,70351;5,92879;13,2821;12,3686;11,2182;11,8268;23,9562;10,8403;16,2265;10,099;12,7683;16,5012;8,40657;10,9255;9,43322;12,6827;;;10,3;26,0;;3,46;10,9967;6,42644;11,7275;8,50893;20,9444;7,64853;13,4456;32,8939;12,8545;16,8856;11,063;6,66564;15,5509;15,0878;13,7073;7,99588;13,4923;11,7813;10,1455;15,8918;13,0446;6,5815;14,5595;12,6296;7,38263;19,872;11,0118;16,1457;17,0773;13,7547;11,2882;7,29534;12,4181;8,20142;9,81812
03.12.2018 06:00;4,82939;11,4816;8,8997;8,49778;8,47069;13,2669;13,2804;8,78946;;6,59215;11,2309;43,9494;13,5439;22,6456;11,0;9,29922;19,5;24,6;11,6;14,0;8,4;9,0;8,5;7,7;10,3;34,1;10,1;21,7;3,88339;12,7;9,2;12,8;8,7;16,2;18,2;12,9;12,3;7,5;15,7;23,0;14,2;37,1087;11,1321;7,88434;13,0993;16,0379;15,1568;12,1841;48,4759;46,9683;37,2474;40,4022;25,7478;33,3713;16,349;4,62651;10,8219;10,4522;18,7421;27,4085;9,884365;;4,49;14,56;18,05;14,27;13,714414;11,65605;15,14;19,07;33,19;28,46;17,55;8,92479;18,8579;12,0854;10,7;8,1;2,9;15,0;32,7934;5,88259;11,9463;4,94889;7,50172;8,49353;15,8221;18,148;11,4263;15,8816;22,382;14,6445;18,5496;13,2682;16,1409;20,7606;8,60207;11,5333;11,4592;14,6812;;;11,9;28,0;;4,74;14,651;7,31128;21,741;14,2396;24,4311;9,53769;16,3726;48,0528;15,2841;19,291;12,8624;6,78496;14,0957;19,4875;14,6754;8,40165;15,2068;12,4043;10,9133;20,3407;12,8465;6,62974;17,3593;15,2557;8,90718;24,1228;13,0955;21,2599;20,1886;21,217;13,8348;8,23594;10,0454;10,8761;9,04482
03.12.2018 07:00;4,65306;11,4396;9,48228;11,181;9,56053;14,3054;31,5597;11,3157;;7,29747;12,5916;59,8159;17,464;35,6657;13,2725;11,2383;25,9;29,8;13,3;17,9;8,8;10,6;9,8;10,5;14,2;36,2;11,0;21,5;4,05556;20,5;12,2;16,0;9,4;22,0;24,9;16,5;12,2;8,3;16,8;23,7;17,7;51,1842;13,2896;9,24718;11,5421;18,4467;17,4348;14,1092;59,3717;48,2876;37,0036;60,0522;39,6024;31,8167;26,1186;4,80231;14,2279;21,3842;23,4268;34,3268;9,286021;;4,69;16,06;23,45;18,07;16,23637;14,1048;19,04;26,57;49,29;33,46;16,95;11,0121;26,1062;13,3203;12,1;9,1;3,1;19,7;27,5595;5,87356;16,5563;7,19602;12,4524;14,2311;20,6531;24,2327;12,7027;21,0243;26,821;16,667;24,094;20,4468;18,3052;16,6194;8,38002;12,3045;15,304;21,2938;;39,5;20,2;27,0;0,4;6,19;20,2221;7,30384;26,1246;17,4194;25,9798;16,713;19,9039;70,2028;16,5925;23,8081;17,8188;7,05622;15,6657;22,679;14,2617;8,87274;19,2761;14,2513;11,2643;23,7465;14,8435;7,01992;17,0519;18,0156;12,3078;29,43;14,7669;24,0295;22,7696;22,4275;19,5746;11,1087;12,6687;15,5775;7,48495
03.12.2018 08:00;4,12939;14,3023;18,6117;12,6134;12,9814;17,2367;27,4122;18,3196;;6,73183;12,2857;64,2305;23,131;38,6425;16,2217;15,4909;22,4;31,8;13,1;25,5;9,4;14,1;11,9;12,7;16,5;42,6;11,3;22,9;4,2086;33,1;15,0;18,2;10,1;26,5;31,8;28,1;17,2;10,0;23,1;28,7;23,1;61,278;14,8046;10,1628;19,1811;20,1946;20,8174;;71,9606;51,2591;41,0374;72,3347;53,4294;40,8021;25,6125;5,50497;15,7013;27,2811;32,0988;36,0548;9,030157;;5,19;20,46;29,95;26,67;22,158327;18,8064;28,94;33,67;68,39;38,36;18,9;12,0031;21,0082;15,9163;16,0;11,7;3,8;24,9;29,1101;6,03873;22,875;10,5479;32,5772;23,4454;20,9983;29,3623;13,6895;22,8944;28,2284;21,5887;24,114;26,7634;26,894;27,2246;8,71;13,7136;21,3241;28,508;;44,3;22,0;29,0;3,3;5,545;29,6274;7,43556;33,5212;22,0581;28,1696;19,3542;26,4371;72,1727;18,5364;26,5603;17,1469;7,21888;22,8941;25,7313;14,6557;15,2694;22,7555;17,8559;12,2251;27,212;16,5818;7,61192;18,5582;;;;;;;;25,4482;14,0691;14,9048;24,4359;8,03837
03.12.2018 09:00;4,07575;22,4548;16,3097;14,6576;11,0147;18,0432;31,83;14,7428;;6,69041;12,8391;68,1787;19,3956;41,0206;14,5078;15,6582;30,9;31,4;12,8;23,0;10,6;16,1;14,1;15,7;22,1;42,7;12,4;24,2;4,30425;33,1;16,6;19,6;10,9;28,1;37,1;27,8;16,8;11,6;24,4;33,8;24,0;56,6881;15,4219;11,2728;10,6748;20,5609;22,0381;13,8461;71,4247;58,6787;53,1116;67,7501;48,7508;41,9318;30,3865;6,25224;16,1905;22,4016;33,7086;;9,337565;;5,79;24,26;32,35;28,97;26,080283;21,64695;29,64;35,77;64,59;37,76;23,85;12,1614;19,6139;14,7474;15,1;13,8;3,9;29,2;28,5361;5,69721;23,916;12,3876;33,1783;22,5579;18,9776;29,3262;13,9584;23,2424;28,2237;24,488;26,7733;27,4308;26,4736;24,8005;9,35935;;20,4664;28,3889;;47,2;27,9;36,0;5,7;5,28;31,2182;7,07918;32,0711;22,9047;34,4973;26,2135;33,195;67,1569;22,0907;32,8646;15,9657;6,88904;26,1248;28,211;14,5124;13,6464;26,4584;20,4069;13,1062;29,3285;22,3194;7,91993;20,7325;20,2638;16,7489;33,4056;16,9214;22,4907;33,4659;27,551;27,5068;13,3638;15,5688;33,3288;7,78821
03.12.2018 10:00;;21,587;16,9471;14,8886;11,1772;16,3118;29,6859;13,6232;;7,69208;9,50105;46,3745;16,2695;40,4837;15,4946;14,8594;28,6;31,0;12,4;25,3;12,2;14,4;15,6;16,9;23,5;32,6;11,9;25,1;4,55294;28,4;16,8;23,2;11,3;29,6;32,2;25,7;18,1;17,5;23,1;30,4;22,4;44,3908;14,8253;12,6787;8,87115;17,0536;;19,7432;70,874;59,5434;59,1105;70,7297;42,3883;41,6184;29,4246;5,83213;13,73;18,2585;17,3069;43,7497;9,868955;;6,59;21,26;33,35;27,97;24,80224;22,82235;25,14;34,17;66,99;36,66;37,5;10,4671;18,6564;13,8599;13,6;14,0;3,5;26,5;21,2142;6,69409;;12,3027;10,0197;16,4682;17,7022;29,4065;14,469;22,5341;28,0316;24,2016;24,5073;25,1974;23,362;19,2853;8,39791;15,434;18,4575;28,8401;;44,5;23,8;30,0;8,4;5,91;27,2754;7,4722;29,6355;20,108;33,8084;19,35;34,1563;72,2747;19,2143;26,4775;15,3135;6,57056;26,5184;27,7835;17,2784;10,2818;26,7887;18,1776;13,1753;26,5598;16,2679;8,52991;17,2645;18,7411;14,2844;32,7897;15,2123;27,1849;32,5167;27,7154;22,5643;13,6899;15,259;31,6356;
03.12.2018 11:00;5,43911;23,5999;19,5491;14,732;11,864;17,2257;31,3186;11,0384;;7,36492;12,8667;47,075;14,7139;35,4564;17,3615;14,9184;23,0;29,0;14,0;27,5;9,9;11,2;16,1;15,4;21,4;34,2;12,5;25,1;5,01206;29,6;19,9;25,6;10,9;28,1;28,5;;17,6;20,8;22,2;33,0;20,3;32,9379;14,1944;13,5789;;16,5404;21,0203;23,9915;71,8071;69,3536;53,5668;82,1942;21,8058;49,1788;27,371;4,81452;13,0276;17,1716;21,5151;33,5503;10,550992;;7,09;24,66;30,75;27,57;23,724196;21,64695;23,94;35,67;67,09;35,36;40,35;9,23708;21,4961;13,7494;14,5;13,1;3,5;22,0;19,8768;6,6272;15,6109;12,3239;12,0834;12,8316;18,1482;28,3047;15,8893;22,1122;27,2181;22,0309;29,9132;26,0678;29,5411;25,5756;9,05504;16,0714;19,6481;20,2608;;36,4;23,9;33,0;5,5;6,355;21,1979;7,33358;27,3618;19,3943;26,9305;14,3942;30,2664;66,3522;21,2362;24,5819;11,415;6,85718;25,9527;25,4349;18,4419;9,29869;24,7662;18,8379;14,9014;24,9728;15,9471;9,44063;17,3606;17,0787;13,5286;30,2377;14,856;24,9005;28,415;21,951;20,6995;13,8593;14,6922;30,3551;
03.12.2018 12:00;5,04821;19,4084;28,4796;16,559;11,6696;;28,5132;11,9475;;8,4776;11,7296;46,2629;15,6487;42,9057;18,4561;16,9116;25,8;29,5;14,8;26,2;9,3;11,5;16,4;14,1;20,9;35,2;11,8;26,5;5,26075;30,7;20,1;27,0;10,7;25,7;30,5;;19,0;21,8;24,8;28,8;20,3;30,3186;12,9219;13,4307;11,7648;15,0931;20,8312;28,0446;75,2875;73,45;50,8937;90,4652;19,9552;45,1184;29,1142;4,82355;10,4618;15,3253;35,2426;48,8845;12,079533;;7,69;20,66;31,45;25,17;20,846153;21,9408;25,34;37,17;62,19;32,56;38,55;9,82768;20,8098;13,6955;14,1;13,2;5,7;23,9;17,8344;7,53806;16,0034;11,4603;9,81038;12,4238;21,8682;29,7314;16,5442;23,8828;32,0973;22,7695;25,6478;19,0264;23,4396;26,9972;9,23926;17,9107;18,0444;19,2671;;32,4;15,9;28,0;3,3;6,325;20,4853;8,59178;30,2314;18,147;26,9831;14,9741;32,6894;70,3531;23,2585;23,2037;11,8385;7,58627;25,8943;27,4685;19,1992;10,0523;23,9632;21,9909;13,1211;25,7222;15,6407;10,2003;18,4411;22,166;12,2349;30,1862;13,5981;24,9424;28,5632;23,0156;24,6621;15,0065;17,6975;31,1815;11,085
03.12.2018 13:00;5,77265;20,0335;22,3288;21,5748;13,7537;;32,1657;11,1667;;10,3577;11,941;52,3644;16,5553;38,5661;22,4209;14,4568;25,8;31,0;16,0;22,9;13,1;11,6;16,3;15,1;20,4;27,4;13,8;35,9;5,64335;34,6;20,7;29,4;10,9;25,7;31,5;;20,1;20,7;26,9;31,7;23,5;31,2261;13,6701;12,7275;12,0987;17,2004;21,3374;37,5815;84,2824;62,2255;61,6381;71,9602;23,2774;48,1914;15,1284;5,0498;10,0853;15,0846;41,2978;43,8512;10,778692;;8,89;20,86;33,35;25,57;21,168109;20,1777;25,34;33,27;55,39;32,26;38,1;10,1734;18,1995;16,0558;16,7;17,1;4,2;25,8;15,7188;7,86841;17,0869;11,1002;8,56249;15,5552;25,0118;25,8677;16,6017;15,8083;33,4854;21,3879;22,3814;17,1033;24,0495;26,9494;9,46882;18,98;18,1459;17,2664;;36,2;14,9;35,0;4,9;7,725;21,8994;8,49194;30,8305;17,1549;21,791;22,8718;28,9195;67,8489;22,7983;20,264;12,8136;9,18923;26,0276;31,5995;19,0198;12,8263;22,713;21,3443;13,3999;26,2634;18,2123;10,884;19,6391;21,7688;13,9213;31,6164;13,8944;25,4598;31,019;25,0609;25,7844;16,5048;16,1607;28,7554;13,9411
03.12.2018 14:00;4,97651;18,2399;19,184;16,32;16,0507;19,5758;28,1085;16,5647;;10,5665;20,3001;45,1285;17,2048;51,1335;20,2263;16,1405;23,7;29,3;15,9;25,8;15,5;12,7;16,4;14,4;17,7;39,1;14,3;29,2;6,02595;30,4;21,8;25,4;11,2;29,9;35,9;29,8;23,2;13,0;23,4;24,9;24,7;33,7171;14,3448;13,58;11,8517;20,0029;24,719;13,4806;79,3446;59,7219;65,1535;78,9369;28,365;26,8025;13,8363;5,41202;11,1448;18,56;40,9757;50,4805;12,521116;;10,59;21,56;31,85;27,97;24,374104;19,9818;25,44;35,17;62,99;32,96;36,0;11,4067;20,6599;17,2634;19,2;18,0;4,6;24,4;24,3187;8,02509;18,4668;12,0105;8,76996;14,3358;24,3779;22,8645;16,009;18,1472;30,4669;19,4743;21,8412;20,8023;24,5839;19,9086;10,7396;19,5153;19,6444;21,669;;42,4;15,9;40,0;3,9;11,12;22,0296;8,74463;32,1654;17,4006;21,7947;28,0543;33,6088;65,672;21,57;21,4477;12,7457;8,64647;27,7101;28,2385;21,0195;12,6477;22,5834;22,3055;15,467;27,801;20,4122;11,9587;20,8696;23,1728;15,1095;32,2259;17,5935;27,9233;32,0361;24,4563;23,7109;13,7154;19,1536;29,0629;12,4126
03.12.2018 15:00;4,52772;19,7701;19,4699;14,6449;18,6516;19,4439;27,1855;19,0679;;12,8152;14,4181;55,1952;18,8544;38,5556;17,9882;18,3425;25,0;30,7;18,6;24,3;17,0;16,3;17,1;16,9;21,5;43,0;16,5;30,9;5,85378;33,7;24,2;33,8;13,2;31,2;36,8;29,9;25,6;13,0;26,1;35,6;27,4;38,6447;14,3842;13,5752;16,0263;21,0782;27,3873;9,79895;88,8558;37,446;62,9664;72,9577;42,3549;18,7785;16,0642;5,91552;12,5225;21,4267;43,2721;52,3251;17,033936;;13,39;31,56;32,65;29,37;25,788017;21,549;29,04;37,57;73,89;36,86;34,95;15,0416;24,1731;20,7792;19,9;16,4;6,1;28,9;20,7323;8,14884;21,9259;12,795;9,84126;18,7987;22,3102;23,2055;15,6953;21,4143;29,4121;16,9449;23,8616;21,0558;23,2985;30,6458;12,5357;22,5019;23,7706;25,825;;46,7;15,9;42,0;3,5;11,51;22,2094;8,18627;32,8601;18,5899;;17,6306;31,237;74,1054;18,3697;24,6467;16,6817;10,5333;25,8954;30,3114;23,3547;14,6871;24,7115;25,4764;15,7389;31,1104;23,7816;13,0151;24,0512;24,6538;16,0511;32,6548;19,3824;27,5638;34,2248;26,2009;29,5178;13,8604;20,5483;28,7841;17,088
03.12.2018 16:00;5,35891;24,3058;22,9369;17,5431;20,5593;20,7476;24,4736;26,8987;;15,0262;17,5421;45,1253;23,1182;43,3357;24,3042;23,9042;24,9;32,1;17,6;29,7;18,3;16,7;17,5;18,8;23,6;43,3;19,0;33,1;5,60509;35,9;25,9;30,8;14,7;34,9;37,5;25,2;23,6;12,7;28,2;31,9;26,7;36,4936;14,0006;14,8839;27,2418;30,509;33,1137;9,81509;78,1088;54,0485;53,9763;72,9624;50,5222;14,2152;14,1852;7,38298;19,1535;27,7428;40,1385;64,086;21,13493;;14,69;35,06;34,95;32,77;32,60193;22,23465;28,74;37,77;56,89;38,66;28,05;15,5839;29,5705;21,6417;21,9;18,7;7,7;28,6;15,9467;9,38397;25,138;13,0473;14,5206;19,6357;23,6622;25,8992;15,5393;23,3953;30,8404;23,3243;21,3756;23,5023;28,2807;34,2868;14,5356;23,2383;23,532;31,5587;;48,0;20,1;41,0;4,1;7,61;26,2454;9,4575;35,3603;24,5591;32,8136;17,072;33,0165;82,1058;20,0681;30,575;22,2806;10,0298;26,5439;32,1168;24,7811;15,2009;25,9501;27,8975;18,6882;28,9657;24,9861;14,4263;24,4047;27,7772;19,915;34,4673;21,0314;27,6717;37,9415;28,3045;39,4399;13,7845;;30,6772;9,86486
03.12.2018 17:00;4,19153;22,3407;21,7362;20,7309;21,1127;15,84;51,6463;27,8439;;16,4809;22,0087;62,2064;30,6515;44,8504;26,2592;26,7452;23,8;31,8;17,7;26,2;20,9;16,8;18,0;19,1;23,9;39,7;19,8;30,6;5,79639;32,5;20,3;27,4;15,0;33,3;36,0;21,8;26,1;12,2;27,8;34,5;25,7;41,8606;14,3581;18,1459;29,3205;30,9741;32,4652;9,8494;73,9533;44,4774;47,4033;73,1457;48,6296;16,0034;17,1823;7,60445;20,0813;25,1186;46,7344;64,7902;24,685406;;14,79;36,46;36,75;32,27;32,215843;21,25515;25,74;35,17;66,49;36,26;27,45;15,0034;31,6821;22,5335;21,4;18,4;8,5;28,6;20,5424;9,53863;21,7092;12,9156;15,7038;21,8414;25,5636;26,1163;15,5846;24,0381;29,3554;25,9897;22,3425;26,511;24,8008;31,1357;15,5096;24,0454;22,6975;33,0088;;50,4;26,1;40,0;5,3;6,995;36,1674;11,7896;41,5037;28,7538;43,0057;19,4939;28,8813;69,3849;23,3968;34,7926;31,4811;9,30399;25,3558;33,5604;25,5126;14,7596;25,6107;26,3428;18,992;27,9253;22,6009;16,2384;24,6265;27,3127;21,8377;36,5068;22,8282;24,9513;38,3244;31,5191;44,3536;12,2538;;34,4723;8,9232
03.12.2018 18:00;4,37795;23,3811;19,1922;23,2834;18,7742;21,5046;58,7202;17,7314;;15,9286;15,6295;68,0104;30,1979;34,7229;33,409;27,6613;25,3;31,1;18,9;27,8;22,1;16,1;18,0;18,3;23,7;37,5;17,5;29,3;5,27988;29,3;18,4;17,6;14,0;29,9;34,7;22,5;21,9;13,1;26,1;31,0;23,9;42,8793;15,4195;15,4309;26,315;27,6755;29,8819;10,381;80,5922;31,3318;43,1305;65,656;45,7758;17,5893;15,318;7,86204;18,4296;21,5801;41,9868;51,6463;19,572382;;15,09;32,06;35,85;32,47;32,129756;20,47155;24,24;29,97;64,39;36,06;30,0;15,39;29,644;22,082;18,5;18,3;8,8;27,0;19,9696;10,9722;18,8189;11,9225;13,245;20,067;25,6942;26,3697;15,8817;25,5303;29,2136;26,3266;23,2226;26,1863;25,587;21,8211;15,2017;23,4647;25,9674;31,1155;;50,3;21,7;34,0;6,8;6,07;32,6963;10,6424;36,8347;26,3027;37,404;23,5479;23,37;63,9644;22,8211;30,4226;30,9808;8,37885;22,9445;34,7618;25,4179;14,2683;24,864;23,458;21,672;27,605;19,6575;19,4324;29,0394;24,5144;19,495;38,9875;23,3286;22,789;39,3713;35,3306;41,4304;12,7254;15,0275;38,2512;7,25763
03.12.2018 19:00;5,2033;22,5127;22,721;32,8503;16,343;21,2973;55,8506;19,5838;;14,5864;16,4028;65,1928;23,8007;36,8885;28,4984;22,9196;26,5;31,9;20,8;21,1;18,9;15,2;17,6;17,5;22,1;32,1;14,6;25,6;5,08858;24,6;14,5;21,8;14,1;28,0;32,1;21,1;19,7;12,4;24,5;30,4;24,5;53,7628;19,3881;19,1115;26,076;29,647;29,5101;10,6955;73,3813;32,9257;44,821;57,7063;43,7152;18,9049;21,3754;7,31446;15,4017;18,2304;33,7891;43,489;17,042439;;14,29;31,56;35,55;28,97;25,943669;22,23465;23,44;24,77;60,49;34,46;32,4;15,8011;28,6289;21,8611;17,9;16,0;8,8;26,2;19,0117;10,5319;20,2518;11,7269;9,67146;17,3381;25,0595;26,6854;16,1322;23,9885;29,2223;21,8927;24,8133;19,7331;23,0162;21,7373;12,4755;22,7701;28,3044;23,6898;;42,5;25,8;32,0;6,3;6,775;28,5522;11,7211;39,7;29,4959;32,6787;32,47;26,6942;67,3677;25,2531;26,9045;22,2706;9,35355;22,9923;33,084;25,9158;14,5647;23,0996;23,124;23,6132;26,6395;18,2325;21,9196;29,7095;25,9056;19,0977;42,4153;22,9579;22,3554;35,9339;38,3984;38,5393;13,7983;17,0788;29,1293;7,18168
03.12.2018 20:00;5,71263;19,6246;18,8399;24,2351;17,0521;15,019;34,9795;18,3768;;11,8942;14,527;54,6742;22,9573;37,4777;17,8638;20,8344;26,5;30,2;18,8;22,2;17,7;17,1;17,7;17,8;21,5;29,5;12,7;22,0;15,74399;21,6;14,2;19,6;14,9;26,0;29,6;20,1;19,9;21,0;22,0;31,0;23,9;46,6629;13,9103;15,0193;21,4994;28,0916;31,9915;10,7061;61,0967;42,661;42,4172;60,2854;40,2305;20,084;22,6579;7,57311;13,9284;17,3327;30,0614;43,9797;17,078573;;14,69;31,16;35,35;29,47;22,957582;21,1572;23,64;26,37;54,09;32,66;32,85;15,5265;24,9809;21,5031;20,4;14,0;10,0;26,0;23,1692;9,28435;21,0283;10,3163;9,66939;15,902;24,9922;26,5147;17,3584;25,4266;29,7228;17,7324;26,4607;17,5029;20,3976;20,8087;11,3335;22,836;24,0113;22,3736;;41,4;26,6;35,0;5,0;9,33;23,6132;10,5813;41,6264;30,0115;31,9639;34,2131;27,1754;56,7747;24,6602;23,5734;17,7641;8,8677;21,2014;32,427;23,5094;13,2008;23,302;22,817;24,9654;25,5188;18,113;23,7995;27,1285;30,2484;19,2062;41,5183;22,7298;19,5788;40,2545;36,642;26,8732;12,8741;14,5687;21,7453;7,95817
03.12.2018 21:00;4,44381;18,1762;16,2799;16,7077;17,6678;17,551;30,1223;20,5156;;10,5617;15,9174;43,182;17,9192;30,772;16,6928;19,2963;28,7;30,6;16,8;20,2;18,5;16,9;17,6;18,4;23,1;29,5;10,7;21,9;8,68502;20,1;13,9;15,6;15,7;25,2;29,1;18,8;19,6;17,6;24,9;31,7;22,7;50,7583;12,5459;11,6558;21,8037;26,5359;29,0927;13,8103;62,5244;43,1459;52,2847;54,9764;36,0196;37,8852;14,417;7,19549;16,1107;15,3248;28,7952;40,3634;16,276442;;14,89;26,36;29,95;29,47;22,371495;16,6515;22,14;25,37;52,09;35,36;32,1;14,4462;19,9957;18,9936;19,0;12,5;9,3;23,9;25,864;8,76386;17,0736;9,22274;9,49797;14,2694;25,8036;27,069;18,4807;30,138;30,4645;18,8473;24,4902;14,2364;18,756;17,7447;10,4301;21,9066;16,1255;23,9864;;39,3;31,6;36,0;3,6;11,825;24,8227;9,1946;35,4118;27,971;29,1144;29,9387;27,604;59,0224;24,1307;29,328;17,4459;7,85283;28,441;32,0467;21,6518;12,2416;23,8708;21,9869;23,9112;26,4812;19,0366;24,1323;29,9154;26,4367;19,5442;40,6691;22,8856;17,2589;33,6231;37,3895;21,4383;10,9239;9,26414;23,4098;11,6106
