Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147
27.11.2019 08:00;4,03804;6,49336;8,16015;6,45406;5,9511;4,22977;13,2013;13,8496;29,8065;8,99085;4,41566;47,6375;18,5379;29,2122;15,7225;23,6026;20,096953;22,6;18,6;19,4;16,682999;14,3;20,6;11,2;7,5;15,9;18,6;18;24,646592;10,3;9,70954;31,1;12,4;15,12;24;21,1;23,4;25,4;32,5;20,6;17,6;27,9;21,3;26,2;21,7182;9,01583;9,30677;14,9842;15,2211;26,8353;26,1604;17,8172;42,0162;21,766;14,5031;38,6282;17,1379;19,3686;21,1114;4,58106;34,107;44,2595;21,4759;27,8621;16,203;16,76;;20,09;19,67;17,7;23,32;16,72;19,06;18,24;37,2;14,08;;14,6;10,6169;17,6355;6,24176;10,3243;7,3;2,7;18,5;18,9322;7,8955;13,4743;14,3634;32,3266;43,5968;16,4889;17,5323;21,0957;21,7898;20,2202;20,1475;19,7401;22,6419;20,5281;20,8474;18,7118;17,0002;20,8762;;18,2;17,5;18;36,9381;24,8395;38,2246;37,9649;27,1439;31,2644;35,1787;54,484;25,5721;27,7187;25,2331;5,08594;39,1073;29,8399;17,5203;33,3432;20,1131;12,9049;11,1783;6,5895;15,9445;15,504;7,63577;14,6656;27,9998;20,1114;21,2367;12,3485;25,4211;29,823;25,9717;17,2845;29,6833;28,0029;23,7417;22,7788;26,805;34,6497;18,7328
27.11.2019 09:00;5,49488;5,85444;11,6078;6,40042;5,57082;4,86604;12,615;21,3092;36,8934;7,64555;5,49328;53,331;19,6655;28,8032;27,9309;;27,007298;25,8;16,2;22,5;18,772815;13,6;20;10,4;7,1;15,4;16,8;19;22,259102;11,5;9,30954;26,3;12;15,75;22,56;18,9;19,9;25,4;35;18,1;15,6;27,4;21,2;25,5;24,7912;8,88361;;14,2263;17,011;23,4053;24,7572;18,2723;49,0375;21,1032;13,8875;40,2657;19,7287;20,3251;18,7932;3,70419;31,1656;43,1295;20,0863;31,3016;15,32;15,96;;20,69;20,17;17,1;24,72;16,62;17,86;18,44;25,1;14,68;;15,3;9,73261;17,6875;5,26027;9,64865;7,6;2,4;17,5;24,7242;6,8678;13,4228;15,3704;31,5936;42,4937;20,7091;18,5528;22,4012;19,4741;20,401;20,4308;20,9585;21,33;22,896;20,8115;18,4243;17,8929;20,4999;21,127;18,6;15,9;16;44,0609;20,8015;39,0655;40,0723;28,4755;35,1118;36,4454;63,0397;31,1892;30,8788;25,4822;5,65067;45,6007;33,0101;13,5088;35,7725;18,8279;14,2951;10,1081;5,76521;15,4946;13,874;8,77127;15,5373;26,9456;17,9282;20,9279;11,823;24,0911;28,6274;20,9435;17,5623;29,5462;26,9451;20,8525;25,3138;26,9242;31,1157;14,7426
27.11.2019 10:00;7,15088;4,65891;11,2088;6,30641;4,98182;4,54679;11,464;29,9031;43,3992;6,64653;6,54966;68,8777;17,8857;;16,3047;29,1336;23,963994;26,2;13,9;24,4;15,333039;11,1;18,8;9,4;5,9;14,6;15,2;17,8;22,352285;11,5;7,50954;25,5;12,9;15,75;17,16;16,6;19,1;25,4;31,3;17,5;13,5;24,1;16,7;24,7;21,8515;8,22194;10,513;16,1155;13,1041;18,3617;23,9117;20,9295;48,7852;20,4425;18,599;34,1589;31,0148;24,6526;15,837;3,60912;20,4912;29,316;18,3514;37,0514;14,738;15,36;;18,89;20,17;15,9;23,52;16,22;17,16;16,84;30,2;13,68;;15,6;24,096;13,4873;5,37658;9,83117;8,8;2,5;15,9;10,4765;6,5555;11,4537;13,5975;30,2923;47,0952;16,0459;16,6865;21,2607;19,4879;19,5887;19,6733;20,9196;22,397;21,6961;;17,1259;17,2691;17,2903;20,5775;18,4;14,3;18;33,2575;17,839;32,6702;31,6638;30,5657;36,976;36,9287;63,0663;37,7476;31,9139;27,2184;5,29251;39,9889;32,7328;11,0014;19,1444;15,9333;13,0943;8,26409;5,00838;14,8679;11,6986;6,86253;14,9642;23,6322;14,6108;20,6492;12,6062;20,7125;29,7369;19,7723;16,4172;28,5998;26,2048;15,1999;20,4626;25,527;27,7575;14,4818
27.11.2019 11:00;7,99428;5,41308;9,95915;8,15734;5,4184;5,19905;10,687;27,2826;40,7132;16,1996;7,14769;;26,7271;31,2293;10,0019;27,4377;18,813873;21,9;14,5;20,9;13,213713;10,9;19,6;9,3;6,3;13,7;12,5;16,9;20,772735;13,3;6,60954;23,3;11,5;14,31;14,28;16,6;19,5;27,3;33,7;17;10,3;18,2;14,5;25,1;21,818;8,01056;10,6338;13,1445;10,0008;18,7578;24,8061;22,9737;54,3146;21,5679;18,5294;39,0351;21,3496;24,95;16,798;3,12103;13,6944;17,0057;17,1418;9,55947;14,092;15,16;;19,69;20,27;16,3;24,02;15,52;16,06;16,04;32;13,58;;15,6;30,1331;15,7216;5,67506;12,9268;9,3;2,8;16,2;8,8091;6,86302;11,6762;12,8826;31,1242;47,0862;18,0036;14,9117;19,5735;20,3257;17,9287;18,3764;21,1977;22,6786;19,2618;19,4011;18,709;17,1987;16,4763;19,4403;15,1;13,6;14;23,3296;9,14255;29,7066;29,6227;32,8802;40,3724;37,7986;65,7213;44,0135;28,7331;31,2479;3,9533;22,407;34,5418;10,6116;6,07485;14,6284;13,1009;6,7552;4,43956;15,6009;11,7756;6,24961;12,89;14,63;14,6111;18,7321;14,3698;15,2739;26,7282;18,3434;14,5062;24,5628;20,3578;12,7732;14,0787;36,6627;27,3214;10,6801
27.11.2019 12:00;9,67525;5,86878;15,3902;8,5732;5,03706;6,08282;8,95506;29,5049;25,6744;16,8391;8,68314;51,2636;22,8107;37,0716;10,2866;21,1998;21,728629;22,2;12,7;16,5;13,734162;10,3;18,9;9,9;6,5;12,7;14,3;19,3;21,31251;10,6;6,00954;22;10,5;16,65;14,88;17;15,7;28,9;32,6;15,4;9,8;19,7;14,9;24,6;25,3505;8,18917;12,0089;16,3954;8,98109;20,8925;21,6598;26,0478;59,2083;25,7217;18,907;40,3671;11,1624;25,8561;17,6195;2,84539;12,5693;14,5596;19,6068;4,45284;12,432;15,66;7,07;17,79;20,87;17,3;23,82;13,62;14,46;20,14;27,2;14,48;;15,6;29,6588;12,8226;6,1297;9,83163;8;3,3;17,2;14,6503;7,03669;11,6506;12,9469;33,9349;37,1225;15,6593;15,055;19,6562;21,5871;18,4883;18,3913;19,6041;20,425;18,7357;19,4535;19,2028;15,1095;15,4422;18,6467;17,1;11,8;14;20,1261;13,1429;31,2676;24,6239;25,9349;41,4787;38,3558;66,9317;42,1438;28,6428;34,7108;4,25224;7,18859;36,4796;12,5788;4,42203;14,4542;13,8535;6,92516;4,89366;14,7484;12,2148;7,26059;11,2729;13,6838;14,7007;18,1323;11,9349;12,9744;27,2853;20,8941;16,073;20,3098;15,1828;15,5371;15,7055;36,3866;26,1487;10,824
27.11.2019 13:00;7,42334;6,46044;15,3956;7,03032;5,34563;6,51355;10,6813;26,799;20,3378;20,7449;8,42661;39,255;19,6092;32,034;11,6191;11,1549;24,122935;25,2;15,5;14,3;14,121652;12,3;21;10,3;6,5;14,2;16,2;22,4;19,565918;;5,30954;18,8;10,1;16,11;16,2;16,3;16,4;28,6;40,4;17;10,2;21,9;18,4;22,6;24,4619;9,83389;12,1195;13,9629;10,0938;28,6355;25,4004;26,0159;56,865;26,1307;21,5732;43,1985;14,6167;26,6597;18,915;3,30267;8,42555;10,7416;21,3596;4,82833;9,648;13,86;5,77;17,19;19,87;16,9;23,72;16,52;18,66;22,44;23,1;13,98;;15,6;10,8522;12,6088;6,3108;7,65798;8,7;3,5;17,2;14,3234;6,75781;7,51373;14,7144;37,9233;13,0866;8,36234;15,4388;19,4572;;18,1236;19,1117;19,6683;21,6217;19,5339;17,2089;18,2234;14,4902;14,1031;19,1838;18,7;11,4;15;25,9022;7,64428;23,9738;18,7647;21,769;45,5614;38,4981;76,2022;20,0184;38,7961;41,0724;3,92549;11,6016;;11,6181;4,17453;14,6029;15,3222;9,37146;5,1077;15,5759;14,1332;8,14156;12,8314;16,5083;13,7403;20,9236;10,3325;15,0389;30,7635;24,3782;17,7912;22,4023;15,7635;19,1657;19,2475;33,5012;31,7403;12,8253
27.11.2019 14:00;7,71704;6,4599;14,4448;10,5973;9,36455;7,36864;;28,8317;27,946;17,6639;;53,9131;15,7761;29,5553;10,175;13,7457;29,803689;33,2;20,2;16,1;16,015958;14;26,1;13,8;7,7;15,5;17;23,5;18,339775;;5,30954;27,9;9,5;18,36;16,44;17,1;19,5;30,3;34,4;18,7;11;23,3;20,7;22,8;26,4483;12,8953;14,2402;11,9314;12,1566;25,7003;28,7756;27,0734;58,93;27,5471;24,669;43,2255;13,0441;29,9568;19,7789;3,19964;10,3684;13,2321;24,1968;7,14982;12,997;16,76;7,87;20,19;20,17;20,2;24,62;18,22;21,66;25,04;26;14,38;;16;7,68358;13,2672;6,67833;6,74291;9,4;4,4;17,8;15,6319;6,03885;7,56049;15,236;42,3399;18,0137;10,5691;14,6485;19,6119;21,4122;17,8187;18,9667;19,8628;22,3593;19,1895;17,9478;20,2114;15,0154;;18,6151;22,5;12,5;18;26,8262;13,333;41,4129;21,3188;24,0494;47,5451;43,7625;74,1086;17,0993;27,7808;40,4659;4,20185;9,77722;37,3085;13,2263;7,07228;15,5525;15,3014;9,01189;5,75246;16,1968;15,8965;8,78817;15,3128;16,4699;15,4062;24,7464;13,1716;16,8826;35,1319;24,9195;20,0781;22,4886;13,1069;18,8911;20,3586;31,6197;35,1999;10,7274
27.11.2019 15:00;8,53867;7,81689;17,4736;10,7901;13,1094;6,71218;29,0587;28,2753;40,2934;13,8473;;57,5347;22,3348;36,5612;10,8044;18,6409;37,413071;36,5;21;18,8;18,122775;15,4;29;17,5;9,6;16,2;17,6;26,6;;;6,00954;30,5;10,3;20,43;18,36;17,4;21,8;36,4;42;27,8;12,2;27,1;25,3;26,7;28,244;16,0756;17,3405;13,6373;13,41;15,5557;24,575;26,0659;56,7328;31,0679;29,3726;43,873;21,8478;31,062;22,6386;3,27665;14,0845;18,5222;28,1349;14,0442;15,335;21,56;8,77;24,89;22,07;23,4;30,82;20,92;25,26;28,44;33,2;16,58;;18,1;10,6721;13,9677;6,93858;10,3649;11,2;4,9;19,7;6,10319;6,22515;8,42283;20,8573;50,4761;29,0847;16,1936;17,2368;20,0657;23,9267;18,9271;19,5543;19,9756;21,8364;20,9835;20,318;19,203;16,1437;15,3255;19,7411;30,3;13,9;18;40,7348;10,3296;51,5024;23,3551;37,1067;52,0669;50,3477;78,3233;23,1942;39,2034;45,2735;4,68782;11,4954;41,635;14,3804;7,85407;17,8097;16,6162;10,1559;6,948;19,0621;18,868;8,43913;17,0836;19,0336;18,4025;25,9469;14,6766;21,6281;41,3348;32,2229;24,736;22,5451;15,8419;23,012;20,2178;32,3202;33,8599;10,7789
27.11.2019 16:00;14,5912;11,3137;17,7158;15,321;12,2495;7,09724;37,6659;12,9283;28,711;13,3401;12,2703;57,446;14,0261;32,785;10,1039;14,6295;40,083721;40,9;21,5;22,2;20,65004;19,6;36,5;19,6;11,7;15,5;18,6;31,2;;;7,30954;33,5;11,1;27,63;20,76;21;24,9;38,1;52,4;31,7;17,6;40,9;29,3;30,4;30,7273;16,3814;16,9275;15,3427;25,752;17,7981;26,2146;27,7718;54,458;34,4601;30,0869;41,16;27,6523;34,2349;23,2314;3,81785;20,2449;24,3707;28,991;13,7611;16,939;25,36;8,57;26,99;27,47;25;36,02;23,82;27,56;31,74;35,7;18,28;;20,5;18,3749;17,5501;7,89564;15,8532;12,7;4,9;20,9;6,89886;6,2926;12,0679;27,288;55,786;39,3235;29,2383;18,483;23,1357;25,9555;21,3438;22,6491;22,8467;23,5703;23,3115;19,6724;20,7327;19,8542;17,2962;23,3312;40,3;15,9;27;46,9102;16,9956;48,91;28,6938;48,736;54,2801;53,9678;87,8391;32,3162;48,8936;46,9449;5,44744;17,5081;52,0647;16,9568;11,5602;21,2933;18,969;10,1692;7,87478;21,0166;21,9867;8,86154;25,97;25,974;21,2285;32,1032;18,6888;29,4569;48,7788;37,1739;31,3765;26,1078;17,5493;23,1819;21,9391;37,6168;34,4452;11,7121
27.11.2019 17:00;13,8965;9,35818;25,1673;15,7931;29,9313;8,92532;36,3939;20,7716;12,9958;12,195;13,5646;58;14,6996;42,7847;13,5449;16,8399;39,936006;43,7;20,6;25,7;24,930714;20,7;29,7;19,4;11,9;15,8;19,2;25,4;;;13,70954;34,4;14,1;28,08;17,52;22,2;23,7;39,1;50,4;30;16,4;40,7;31,3;32,5;29,773;18,1678;14,1929;15,9323;25,1492;22,6041;25,4716;30,1337;58,9714;34,7389;31,9947;39,8047;23,49;31,6362;21,314;3,99577;23,0401;22,713;29,8844;18,1226;18,081;27,46;8,17;30,59;;32,7;33,72;24,02;26,26;29,24;78;19,38;;22,1;21,2912;15,9545;7,65611;10,4055;12,9;5,6;19;17,9527;6,7244;11,7509;25,3935;55,4445;34,6646;29,592;19,8792;23,7808;24,3639;21,9593;22,799;24,7603;24,2234;26,9744;22,3805;20,3719;22,7325;18,8298;25,3154;38,2;16,7;31;44,0421;19,828;47,6582;32,017;53,0112;55,7752;54,1091;87,9021;33,5951;52,0415;42,5563;6,40444;27,5668;52,0228;17,0789;17,8528;23,6445;18,3498;9,24293;7,84982;20,0771;23,4255;11,2243;30,4493;33,098;21,8861;34,4948;24,2852;33,3539;53,1871;43,0836;34,0554;23,3488;18,2428;24,3058;23,8102;35,1388;33,11;12,0153
27.11.2019 18:00;21,9142;9,96046;18,5456;13,2401;16,0948;16,2403;29,3545;18,5751;13,2465;12,3809;11,8326;48,8293;12,4593;36,2499;13,9629;15,9174;34,724298;42,6;20,4;28,4;25,451163;17,6;32,8;14,7;9,6;16,8;21,4;25,9;;;21,70954;30,5;12,1;25,2;17,28;21,4;24,4;35,8;47,5;29,5;15,6;41;25,7;28,8;29,3874;17,425;12,9032;14,7027;21,9397;22,0163;25,9644;26,9109;56,9957;36,1607;28,2578;35,0464;25,949;33,0744;21,1418;3,51937;17,967;17,307;35,6602;19,931;16,547;17,46;8,77;24,49;;32,5;27,62;22,22;23,36;29,74;46;21,38;;23,6;11,2245;18,3196;10,0052;9,04073;9,8;5,1;17,1;19,7366;6,51089;12,5298;27,3097;54,9469;30,2781;25,1731;;;;21,0563;;26,3138;;;22,1436;20,0118;25,7307;16,8418;23,6489;41,5;21,8;28;36,5267;7,22311;40,8063;32,5248;51,7814;53,1573;52,2815;91,0425;20,4036;53,1308;44,4816;6,21633;14,6199;48,602;16,0374;14,6417;24,3419;17,8173;8,12547;7,98632;18,9867;23,0298;11,0317;31,8844;32,1748;22,412;35,6083;20,4759;35,3227;52,2107;47,5342;33,2146;24,2436;18,4676;24,9967;23,3487;23,1757;28,3151;11,1969
27.11.2019 19:00;32,0988;8,12122;22,4235;12,8582;17,4305;11,8852;19,248;9,60914;15,2821;14,67;10,2234;46,7314;13,0398;32,9974;11,9489;11,6478;32,988853;34,1;23,2;23,2;23,378428;18,5;26,1;14,1;9,2;18,2;23;25,1;;;20,90954;29,1;11,7;20,07;20,52;22;23,3;32,5;37,7;25,2;16;33,3;24,1;25,2;30,3886;13,9314;11,101;14,2534;17,4528;16,0543;22,8378;27,1966;47,9954;41,706;27,4515;38,2809;26,793;29,055;20,8527;2,83317;15,663;16,4374;40,0762;18,3876;17,24;17,86;8,47;27,09;;30;29,32;19,12;20,56;31,64;38,5;20,38;;23,4;10,9547;19,4486;14,0194;11,6144;7;4,3;14,4;14,9196;6,51461;11,6679;26,7666;53,1017;22,535;13,1944;20,6801;22,9897;24,9717;21,2075;22,2806;24,568;23,9736;25,3015;23,1177;20,5257;25,4549;19,5881;23,9938;34,2;20,5;18;30,6531;8,17114;36,2084;31,4795;49,097;12,0568;51,6352;85,5147;15,9085;51,6511;44,6765;6,35182;14,2175;45,1247;16,2021;10,6164;22,5441;15,0506;9,39111;8,59391;17,6201;15,3946;11,0564;27,2604;29,4441;20,5024;33,7306;18,7917;32,3848;47,5124;41,4261;37,3323;23,6275;19,481;31,4657;22,7039;21,1703;30,3137;10,678
27.11.2019 20:00;22,6577;6,68138;28,9814;10,7991;11,7498;7,8631;22,4209;10,7434;24,4704;17,5848;10,473;39,6647;14,7883;33,3995;9,91638;11,6972;29,010425;31;24,1;20,7;22,564796;18,8;24;13,9;9,4;19,9;18,7;21,9;;;13,50954;25,4;12,2;19,98;23,52;21,7;24,3;31,3;38,1;22,4;18,6;33,7;23,4;29,3;26,6543;9,77639;8,80662;15,4219;19,9618;15,4194;19,4381;26,7696;51,2336;36,2324;26,9863;37,882;23,2744;32,8832;24,0995;3,71375;20,1891;23,4844;38,6473;12,3919;15,53;17,56;8,17;26,09;29,47;27,1;29,82;17,62;20,46;27,74;36,7;19,38;;23;11,481;21,4443;11,2985;11,0217;5,7;4,2;15,5;19,8092;5,89055;8,77233;23,1001;47,1201;13,1705;10,6652;22,4641;23,933;24,6023;21,8919;23,2288;25,6197;23,2424;26,282;21,5196;22,025;25,7423;20,2879;25,0603;23,2;17,1;17;31,3944;13,4238;42,5962;32,9772;50,5173;13,4605;53,0644;79,4733;15,8539;51,8747;42,6785;6,38252;19,9289;21,013;16,4119;16,1946;20,9539;14,7739;7,82061;7,70748;15,4707;15,5144;10,9835;20,9774;21,8206;17,3199;33,32;19,0781;25,5404;41,7305;33,1114;34,9073;23,2945;20,7765;26,349;24,8374;21,5451;27,2322;10,6626
27.11.2019 21:00;22,3189;7,93214;16,4358;9,43625;11,7354;12,1773;35,1999;22,8699;21,1789;12,057;11,4646;41,5026;15,6301;33,4127;9,5754;9,92859;28,443304;29,2;23,8;20,4;23,271612;18,5;22,9;14,4;10,1;17,7;17,2;21;;;10,00954;23,4;13,1;15,12;24,84;23,5;25,9;32,1;35,5;21,1;19,3;31,8;23,5;29,9;23,2813;10,7353;8,03793;16,3949;19,3585;11,1851;14,6863;23,3583;48,9047;39,3718;23,1092;38,538;14,1663;26,751;24,5928;3,97347;15,1611;20,0122;44,6012;7,52531;16,806;18,56;6,97;22,89;30,87;23,6;32,32;17,52;20,26;26,04;35,6;18,08;;22,3;11,7333;18,383;12,0293;10,2339;5,1;3,5;12,8;12,455;5,18683;8,25691;22,5499;41,7898;16,722;8,87009;22,4992;26,55;23,6401;24,482;25,1814;26,5546;23,3429;26,1656;21,2593;20,3309;25,7417;17,3913;26,8548;23,8;13,4;25;17,6559;15,9795;42,729;36,0396;51,7951;13,9932;47,5594;72,715;15,4284;53,6821;35,2313;6,39713;23,2918;29,7667;16,022;14,0713;18,1661;13,358;7,50779;6,75255;17,2744;16,8542;10,1284;22,9566;19,4453;17,4545;32,2675;18,102;26,8641;37,701;29,33;31,317;22,1126;20,0051;14,2678;24,4763;19,316;22,8532;10,3046
27.11.2019 22:00;16,8123;6,95543;13,2206;8,02615;11,1879;13,4552;25,7153;26,308;24,7321;12,1032;10,4114;45,0271;14,8908;35,7666;9,4012;9,18291;27,085325;29,7;23,5;21,4;21,992061;17,5;20,6;14,2;9,4;17,1;18,5;21,7;;;9,80954;20,6;11,2;13,59;26,88;23,1;27,9;32,4;38;22,5;18,7;27;22,8;30,1;21,0357;8,115;8,04185;15,2732;17,6722;11,2289;15,0639;18,8953;49,4996;35,9329;21,6677;38,0477;14,0144;26,3713;26,2685;3,40358;9,53929;8,50029;35,8695;7,74679;17,398;16,96;5,87;23,39;29,17;19,4;32,02;16,02;18,16;20,24;32,6;17,78;;21,6;10,8341;16,0773;18,0813;10,3115;4,2;3;11,1;8,5969;6,05626;6,08276;19,3579;43,6931;9,55894;6,36218;24,2531;28,1718;;;26,5575;26,9814;22,4209;25,8659;20,6744;18,2319;22,8248;16,582;27,2693;27,8;13,5;25;13,8002;15,0682;30,9137;27,8902;51,2027;13,2438;41,7421;58,623;12,9043;50,0307;35,9414;7,27078;15,7751;24,4692;24,2739;8,70863;16,0518;11,4692;7,38191;6,45353;17,2298;17,5928;7,18476;16,624;19,3836;17,3652;29,1165;19,6719;26,1946;35,2865;23,5374;25,5826;20,9104;19,3875;12,2379;13,9268;17,2505;22,8075;9,67844
27.11.2019 23:00;28,4065;7,30862;10,0963;6,61977;11,0673;18,8401;16,3189;22,7277;15,4946;9,65686;7,4977;47,1271;24,5538;34,5387;9,2493;9,0751;26,41259;28,9;23,6;21,4;19,505694;16,6;18,9;13;8,6;18,3;20,2;21,8;;;10,90954;19,5;8,4;11,34;20,88;21,5;27,8;30,9;34,3;22,5;20,6;26,7;23;30,9;21,6594;4,74917;7,61083;12,3239;12,4588;11,1006;13,8684;16,5935;44,4965;33,3182;22,4495;37,3631;17,5224;22,0475;19,8722;2,78325;7,91568;7,36005;33,411;12,8046;21,701;18,16;5,57;22,69;27,97;21,9;31,42;14,52;16,66;17,94;33,4;16,78;;21,2;10,4624;15,3725;10,2145;9,95936;3,6;3,3;10,4;18,4387;6,48434;6,07696;17,0927;42,2253;7,7197;5,83001;26,1965;28,1083;21,5048;26,883;27,4732;25,5458;21,6706;23,9088;20,0623;16,5712;23,6648;15,1759;26,4717;25,1;15;20;12,0224;15,3209;20,0412;18,5977;48,407;13,9938;23,8333;48,5092;13,715;42,2226;36,3746;7,46507;14,4127;14,9365;26,889;10,6162;17,0519;10,0291;6,3165;6,56082;15,5493;18,9557;6,62273;15,695;17,1706;17,2342;24,9269;21,0336;23,8083;29,534;18,7164;19,5805;19,9416;18,4008;11,3929;10,2855;17,296;20,0117;10,1931
28.11.2019 00:00;24,0615;8,36394;7,99155;6,73449;10,1118;5,60853;9,46599;15,2586;14,1925;9,00519;7,8238;31,0005;22,168;19,5884;8,30894;12,6638;21,66255;25,6;23,9;17,7;19,378428;17,2;16,1;10,8;7,7;18,7;22,7;23,7;;;10,80954;13,2;5,6;8,1;21,72;18;29;29,1;31,3;21,4;17,2;26,2;24,1;29,5;22,124;3,73;6,8653;9,90628;8,85468;9,40954;9,32844;16,7332;35,8553;31,8534;20,256;34,7575;28,5217;18,463;20,9123;2,49804;6,73887;6,50595;34,8233;16,6084;20,798;20,56;5,77;18,79;24,97;22;26,82;13,62;15,86;13,64;30,8;15,68;;20,2;9,62108;17,0989;17,035;9,24506;3,1;4,1;9,8;7,91589;7,36332;5,00749;13,9544;36,6994;7,76006;4,19631;25,2506;27,606;22,5629;25,7927;14,1719;23,8014;20,2289;23,1345;17,4989;14,9448;21,8843;;25,1846;17,6;14,1;14;11,0355;16,8249;15,224;15,03;44,2296;22,1778;17,4692;34,6281;14,0101;43,3482;33,1353;7,69502;14,2721;13,8136;36,9683;7,44805;17,2383;8,58689;6,18001;6,42644;13,5943;19,6589;6,50402;15,7104;15,7244;15,5071;23,5841;17,5815;18,0708;28,6274;19,4692;24,0949;17,0131;16,8896;11,6292;13,6389;16,6757;20,2906;10,1187
28.11.2019 01:00;19,0812;8,55301;7,53047;9,62533;6,6134;5,01581;7,92736;6,19341;15,4028;7,80435;7,76538;29,2154;24,7678;14,2964;7,57549;13,6065;18,53753;21,3;20,7;14,9;17,245469;18,3;14,7;9,3;7,1;18,4;19,8;21,6;;;9,30954;9,6;4,8;7,65;24,72;16,8;28,8;25,1;28,1;21,4;17,9;28,3;32,2;24,8;18,4853;3,15694;6,78675;9,71402;6,54097;9,26622;8,57904;21,0518;36,2632;27,6924;18,3982;32,7058;31,864;16,363;19,7083;2,37588;6,79745;6,8708;32,5185;16,6445;19,705;20,46;6,17;17,29;21,47;18,6;24,02;13,22;14,86;11,14;30;14,98;;18,6;8,5716;20,7006;14,5244;8,05011;2,9;5,1;8,8;7,75489;7,83814;2,91499;12,2198;27,2317;6,40626;3,5133;21,3867;26,0814;22,4594;24,1675;25,8128;22,6355;20,5398;23,0261;16,1419;12,9181;16,1832;11,0545;26,0237;11,3;11,6;14;10,2682;14,6656;14,8626;14,9502;39,65;10,8931;14,9046;31,9208;12,9068;37,847;22,1702;7,2341;16,9053;13,3917;25,4647;7,20612;16,7497;7,93714;5,36263;5,70466;13,1779;19,7337;6,66533;;;;;;14,1033;;;24,4476;15,2062;13,0888;12,1486;12,0791;12,4802;14,0559;10,1352
28.11.2019 02:00;18,0461;7,7521;7,07672;7,66446;7,38988;5,40638;9,83724;5,11867;11,4433;7,95147;12,0329;27,075;15,1919;23,098;6,63874;15,962;18,906897;20,7;17,9;14,6;18,931836;16,7;13,6;8,8;6,1;16,6;15,4;16,7;;;7,80954;8,6;4,8;7,2;21,36;15,7;27,5;21,6;25,7;19,7;23,5;30;29,3;20,6;12,9505;3,1975;6,86111;9,27373;6,4992;10,9076;10,3662;20,256;33,5105;23,8007;11,9893;27,0229;20,8477;13,35;28,1255;2,52088;6,65907;5,58144;32,6784;21,2163;14,214;17,96;6,57;13,89;23,57;14,5;21,82;13,12;15,66;11,54;25,6;12,68;;16,4;8,07076;16,8141;7,93122;7,86179;2,7;5,3;9,5;8,6957;8,23063;3,03269;11,2017;27,7017;6,32978;4,29616;17,1322;23,5962;20,2563;21,2519;23,5637;20,9453;19,8437;21,0053;14,7975;11,8724;13,5834;10,0177;22,7711;13,1;11,2;13;19,1178;13,6464;11,6079;11,3732;29,0473;10,0465;15,6625;26,9465;11,4025;25,3011;15,766;6,5255;10,7194;10,7711;16,9531;6,71802;15,143;9,45226;5,02166;5,48107;13,4552;16,6661;6,08476;16,3264;12,1691;13,5058;22,3377;14,1228;14,3489;18,0673;14,4509;23,9983;12,5039;12,3522;12,1428;10,6982;10,3049;14,0564;11,0322
28.11.2019 03:00;4,51816;8,33738;6,88631;7,26932;6,40573;3,97749;8,46591;6,21582;18,7123;8,25154;8,25559;15,7968;7,66871;12,9708;8,35703;8,30339;17,530714;19,2;17,8;14,9;17,238653;16,4;12,6;8,7;5,9;13,8;13;14;;;7,80954;8,3;4,5;7,2;19,56;13,7;24,2;20,2;24,5;17,7;25,3;32;21,4;18,2;13,5014;3,43694;7,79825;9,70552;;10,0153;11,292;25,7254;25,992;24,0206;9,90575;26,5571;20,1217;11,0423;16,7321;2,61435;6,47902;5,99392;30,3832;22,2042;11,865;14,36;6,77;11,49;20,87;13;22,52;14,32;17,36;10,74;20,1;11,88;;14,5;7,25551;12,0817;7,85421;7,41362;3;5,2;9,5;14,8455;8,97259;3,72926;11,7073;30,408;6,48912;4,22233;15,3791;20,7185;18,0959;18,9211;20,9349;20,0441;18,0104;19,7958;13,3588;9,93907;13,2201;8,56121;19,9436;14,8;10,8;19;24,5546;13,0404;14,0713;10,9738;17,2616;10,0146;13,8652;28,6853;10,914;19,0138;12,3822;5,93059;14,8631;9,27522;12,2352;6,99686;13,2369;9,72141;5,14912;5,80558;13,0085;13,1533;5,88647;14,0902;13,8157;12,6581;22,1842;12,5155;12,8169;16,5234;11,1967;24,2808;12,2017;12,313;12,052;12,1619;11,8242;12,0116;10,524
