Nr;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140
11.09.2020 10:00;5,97447;8,8908;13,8514;15,5652;15,2372;6,27986;;38,6272;12,795;15,125;29,2;29,3;6,2;8,4;18,8;21,1;7,5;;12,1;12,315958;38,3;;6,1;2,65907;2;15,5;10,3;12,2;13,5;19,4;26,6;39,4;11,2;4,3;9,5;7,5;25,6;32,367;2,16608;3,29926;2,36528;9,6;11,0708;7,01102;14,1793;46,3235;17,7241;25,0116;27,1074;18,0981;23,3131;12,3733;8,1;8,89824;21,3132;9,39618;8,61887;5,5;7,69;1,39;30,1;12,49;13,6;12,7;9,26;16,17;62,86;21,41;30,09;22,144108;14,0399;10,0232;5,48789;9,36695;3,8;0,9;5,7;9,2;12,8181;2,89562;4,27252;7,05209;9,6835;54,8592;6,93255;7,3608;4,9749;8,2204;3,41302;3,24147;6,68222;7,91423;2,12042;17,5576;6,06793;4,6;15,6;7,1;10;7,3;3,9;21,0008;34,4208;7,059;12,2362;10,0171;30,1289;51,5787;23,6052;13,7405;10,4215;20,5338;8,77597;19,2905;23,4403;3,57969;7,63419;3,60253;8,19451;4,54064;3,64395;4,63979;7,61082;2,64;9,49352;8,59768;15,3784;20,128;6,53878;24,5969;23,7407;22,4619;16,7003;19,9252;11,1614;0,92413;17,994;11,2615;37,5012;9,23974
11.09.2020 11:00;2,29281;7,59223;8,57001;7,67734;10,6485;3,59084;;37,6945;8,08723;15,5047;30,9;23,7;4,2;6,2;19;12,2;5,9;;4,4;5,098877;40,3;;5,5;2,2956;0,3;12,9;8;10,2;8,1;14,8;7,3;25,8;9,4;3,6;7,6;6,5;12,5;26,2316;1,16356;3,00078;1,85278;8,3;6,66521;6,04697;12,1671;46,5285;18,6143;14,7277;26,3766;9,39695;14,7564;9,60939;1;5,52993;13,9088;6,8378;9,27054;3,2;5,19;1,4;12,1;6,09;10,6;12;5,56;9,17;46,16;11,51;15,49;5,744278;8,34376;7,82962;2,78406;7,13272;2,9;0,4;5,1;3,5;8,27959;3,69228;2,95184;3,08682;7,69521;48,3249;4,86132;6,26454;5,10831;8,52603;;5,26022;7,32413;8,30306;1,87646;;4,97752;3,2;10,8;6,9;4;3,9;2,615;29,4947;26,9794;4,99882;7,82218;;22,8888;53,2933;19,7733;10,9926;6,43972;14,4754;6,70183;13,2746;21,0179;3,89729;6,74246;2,41231;6,62933;4,70657;4,69077;4,68068;6,22622;1,55;4,42392;6,03109;14,4013;;4,27151;20,4083;5,21764;8,12801;8,90408;22,1181;11,1019;0,973;11,5867;12,776;27,7601;4,26164
11.09.2020 12:00;1,12064;6,24321;10,6918;7,01546;8,39218;2,73204;;41,2939;5,09814;10,1825;25,1;18,5;4,5;5,5;19;4,4;3,9;;7,5;3,21251;39,9;;8;2,31473;0,5;12,1;8;10,2;2,2;4,7;10,8;19,1;11,4;2,5;8,5;7,2;10,5;14,4128;1,23149;2,45958;1,36444;8;6,75908;6,01401;10,4015;51,0934;16,9025;11,9038;29,5967;6,52789;9,64816;6,47584;1,1;5,72485;16,1433;6,94362;5,07795;3,2;1,79;1,4;9,5;6,19;10,1;11,9;5,36;5,67;73,96;11,81;14,29;5,644448;7,23426;8,03218;2,64944;5,73162;5,3;0,6;4,6;3,4;3,61542;3,26899;2,74036;2,7161;6,61014;42,8986;4,24268;8,22324;3,56269;7,07995;;4,26652;5,612;8,47147;2,24954;10,8375;4,27343;5,9;9,1;4,5;5;1,9;2,065;29,7935;23,2154;4,63729;6,40163;9,28184;19,2883;53,4282;13,4277;11,7156;5,53302;8,97244;12,6995;11,393;21,4614;2,73846;6,15789;2,17862;11,0689;4,19977;2,96997;3,64502;7,86044;1,4;4,12725;5,51231;10,3246;16,0952;1,67628;8,37652;5,75618;12,6837;6,0775;16,4469;10,2983;0,17845;9,8314;11,6476;26,7728;3,01777
11.09.2020 13:00;2,3337;5,36688;7,57683;8,19631;6,76383;3,38743;4,67325;39,9114;5,89002;8,62737;18,5;13,6;5,7;3,5;21,6;2,3;3;;9,4;1,786367;36,3;;5,3;2,39125;0,5;9,3;6,7;7,8;2,4;7,3;12,9;32,4;12;1,9;6,8;8,2;11,2;5,71369;1,57676;2,92324;2,7075;8,2;6,50609;;10,2694;57,6902;15,0771;13,2951;24,0328;6,16354;9,0018;3,61049;1,2;6,67872;22,5794;8,02802;3,99608;3,8;1,89;1,8;8,8;4,09;10,5;11,4;4,46;8,77;69,76;10,61;18,79;4,944619;6,20072;7,17452;3,50965;5,07732;4,3;0,6;4,9;4,7;4,12141;2,83826;2,78091;1,78135;5,72497;47,3822;3,6352;10,9493;4,4897;9,55138;;3,11181;5,4935;9,11416;2,03874;;4,11082;4,8;10,8;3,9;8;3,5;1,925;31,4843;24,9142;6,8832;5,08349;7,63184;15,5544;51,1317;13,8632;12,4667;5,04629;13,3694;11,7386;9,99713;17,4312;2,62674;5,5829;2,75328;8,78139;4,09608;4,45708;4,25739;11,0216;1,32;3,61193;5,26384;8,2407;14,8699;2,16125;4,74324;7,12592;7,43914;4,99244;22,3837;12,1452;0,09985;5,93039;;38,488;2,20464
11.09.2020 14:00;3,18348;4,84533;9,42404;12,8113;3,6086;3,36406;3,99555;41,0273;5,86878;11,2388;23,3;12,1;5,2;2,5;27,7;1,9;2,5;;6,8;1,839775;44,2;;5,6;2,39125;0,2;19;8,4;13,9;1,8;5,1;15,7;34,1;11,3;2,3;9,4;10,2;12,4;15,373;1,42651;3,19038;1,35056;9,4;5,89618;7,54762;8,70234;61,5218;15,7364;10,4377;29,7677;8,49194;9,29657;4,3174;1;5,84275;10,6515;8,14128;3,51011;3;1,49;1,7;9,5;4,49;10,1;10,4;3,86;7,07;73,06;12,61;18,09;5,644789;6,96074;9,10016;5,64746;5,83165;4,3;0,5;6,3;5,2;4,98265;2,9312;3,29506;1,89447;6,5202;49,8301;3,2614;9,08303;6,46111;13,3547;;4,31275;3,98382;9,313;2,37459;10,8544;5,18476;3;9,2;5,4;5;4,5;2,125;34,0712;19,5359;6,46522;5,31276;18,5695;11,2792;74,9254;12,0323;14,4789;15,7804;10,5261;9,41681;11,2819;18,1555;2,2774;8,05696;1,96086;6,88373;6,65873;5,45929;7,32933;12,2102;1,41;3,86723;6,61045;7,5468;12,4313;2,21992;5,16691;8,34057;11,1151;5,45345;25,8683;10,0314;0,5;3,23712;8,19577;37,3706;2,03628
11.09.2020 15:00;3,86383;4,20003;13,3999;6,97295;4,11597;3,35768;9,79316;38,1821;4,10386;11,7976;25,7;17,2;4,1;2,7;22,4;2,7;2,6;;8,9;3,086367;49,2;;8,5;5,83465;0,7;13,1;8,3;11,1;1,9;5,4;15;14,7;12,4;2,6;7;9;14,2;6,78733;1,86861;3,71247;1,31139;10,2;6,10112;10,9659;5,88267;73,3358;17,8511;13,8457;34,5265;6,64951;12,0807;4,29085;1,6;6,00793;28,312;7,29235;4,35299;4,1;1,79;2,5;11,2;5,09;9,9;9,4;6,56;5,77;80,86;12,41;21,79;4,644959;5,45292;6,30714;8,59626;6,34139;7,8;0,6;6;5;4,14936;3,55048;3,61191;1,59174;8,24553;77,0118;4,07199;9,30781;7,26337;14,4739;3,31856;5,01419;4,42913;10,6891;2,47132;14,341;6,45266;2,9;12;7,3;6;2,9;2,39;40,1751;23,7194;6,34572;13,3032;10,9806;11,284;66,8212;13,2698;10,0481;20,204;11,6834;8,0501;8,70491;18,4606;2,40328;5,96332;2,51587;10,3588;5,77481;5,98403;5,67333;11,421;1,57;3,78545;6,37493;7,00793;14,0366;2,52684;5,65947;6,72705;16,4433;6,72546;37,5023;14,7772;0,5;3,89995;8,47001;45,7852;3,12612
11.09.2020 16:00;2,5642;3,72999;11,0556;8,05616;4,79943;3,65936;8,35172;39,3707;4,85448;12,1338;24,6;20,1;6,1;2,6;22,8;3,8;3,3;;16,8;9,365918;27,8;;9,3;5,20336;0,6;12,8;11;11,5;2,5;5,1;12,3;23,7;12,1;2,8;10,4;13,1;14,2;15,517;1,68925;3,77779;1,54861;10,7;12,426;8,01872;5,36931;68,4597;15,5726;12,9375;34,0235;10,7263;14,4977;5,90702;1;6,86036;30,3379;7,73326;7,58055;4,7;1,89;2,4;8,5;5,19;7,9;8,6;6,76;7,77;79,96;9,81;28,49;4,845129;4,78372;6,44201;9,12237;6,13311;7,1;0,9;7,7;9,7;3,39914;4,5957;4,97442;3,63121;7,82864;77,0485;4,49062;11,1283;7,93882;16,2324;5,07847;4,64632;4,71873;9,86968;3,16583;12,0847;6,90221;2,6;15;5;7;3,4;2,54;34,3287;38,4131;7,9672;20,6666;25,4355;12,0886;75,9531;14,0999;16,0759;15,6359;;11,1055;12,0971;15,8243;2,58173;5,72378;4,07575;11,3143;7,52263;4,9303;7,78343;11,6834;1,93;5,87461;5,21375;7,51587;11,474;3,31902;6,91134;11,1316;19,4362;6,2618;35,7576;13,3671;0,5;5,13744;8,37337;45,4976;2,42505
11.09.2020 17:00;3,93978;5,43698;8,11325;12,2945;9,60037;3,0762;10,8968;42,4721;5,97087;22,4814;32,6;26,8;11,3;2,6;18,3;9,5;5;;23,3;13,692061;13,8;;17,1;3,48166;6,7;15;15,5;14,9;2,9;4;12,8;43,5;10,8;3,2;14,3;13,9;16;19,1875;1,83037;3,60465;1,47417;10,9;15,2484;10,875;8,51674;80,1728;18,474;17,6377;34,7081;19,0202;14,5716;15,3045;2,5;8,52964;33,4161;8,85812;9,96471;4,2;1,89;3,3;13,9;5,59;11,4;9,1;7,36;8,87;93,26;23,01;23,09;11,5453;5,41946;7,65838;8,2612;7,40951;11,9;1,5;10,3;12,5;3,87666;6,43335;5,40163;1,75904;12,1831;75,3064;6,66827;10,7426;8,71917;18,7935;6,30881;8,5272;6,66893;10,6994;5,21851;10,4017;8,20411;3,1;17,9;4,5;4;4,3;3,155;27,9395;28,5207;7,73351;20,3501;12,537;17,3721;88,1724;15,0968;17,3346;18,3371;25,5252;11,3501;13,7653;12,4589;2,79577;9,08412;7,02766;17,1512;8,08185;9,18397;10,5298;13,3107;1,78;6,23896;7,29687;7,26528;10,8042;18,5696;8,3218;12,9952;10,6509;7,95658;43,8666;13,4132;0,1997;6,27189;10,2404;46,4988;2,39106
11.09.2020 18:00;6,57303;13,0675;10,1304;17,9876;24,6234;2,5573;13,8131;63,5633;5,7668;27,5875;50,8;25,2;15,5;3,3;32,8;14,6;7;;45,6;25,664796;23,5;;25,1;3,11819;4,6;32,1;20;27,4;10,6;16,5;14,9;75,4;21,3;6,3;49,4;34,5;21,6;21,518;3,83797;9,97161;5,08389;11,3;14,7749;23,0184;10,2354;92,9938;25,0604;17,728;43,2277;42,6992;24,258;47,9057;2,4;15,6343;55,1292;12,4407;11,3711;4,4;3,09;6,7;49,7;10,69;34,2;16,3;26,26;30,87;100,36;44,41;53,09;13,14547;19,5608;15,9349;12,7133;14,2382;19,6;1,1;23,4;34;6,93224;4,80815;8,63597;12,7738;22,593;90,2593;15,7674;24,3838;18,064;25,1988;10,1356;12,2443;22,8024;11,8295;8,60528;10,5532;18,6523;5,9;54,8;11,3;35;27;3,94;65,4195;36,2016;14,9763;20,9508;12,3829;35,8282;117,295;25,633;35,6166;27,365;36,7593;12,8612;19,7919;17,1239;3,0438;25,7515;15,7751;18,8576;21,8437;14,5089;22,8266;28,8972;1,73;12,5791;17,436;7,57657;20,5451;26,85;13,7185;21,5721;21,484;30,2744;67,022;20,1388;2,30715;20,1482;20,5162;60,4399;4,64032
11.09.2020 19:00;14,5455;37,8624;18,8329;25,5219;46,6995;3,21322;19,5088;99,6028;8,79892;36,141;66,1;37,7;40;5,4;36,6;31,1;14,5;;45,9;45,833039;27,3;;45,6;3,40514;6;46,4;27,3;41,2;17,3;58,1;66,5;101,6;47,7;21,2;69,4;54,5;37,6;61,4071;4,72822;20,2863;23,395;19,5;53,7443;63,0737;30,1065;107,959;41,2927;18,6192;65,9773;42,5224;23,0359;11,6287;3,3;29,2733;79,9327;18,7372;22,5473;6,1;1,39;11,4;29,5;43,19;56;;48,26;57,67;93,06;56,51;65,79;63,14564;27,7102;61,0029;27,3251;45,744;29,4;1,8;43,6;38,5;5,30873;6,4206;22,8933;37,3865;16,2575;97,497;31,2361;48,1167;38,7668;66,9193;28,2835;26,8282;34,4696;14,8403;12,521;23,2784;34,5344;13;119,5;30,7;55;37;4,225;45,1469;105,053;53,3501;48,2831;27,8527;71,4652;123,455;58,3505;48,1468;57,8242;57,8083;11,6118;57,8523;58,6082;3,65989;28,723;23,4464;36,9855;35,2642;11,174;41,9838;56,6589;3,38;19,8973;34,7698;8,08539;24,9833;23,31;32,7817;67,8022;68,5701;44,3265;59,084;30,623;4,16019;36,6456;39,4729;79,9628;6,6442
11.09.2020 20:00;27,6034;42,5627;23,1897;31,1249;61,5191;4,65944;;89,5581;11,3429;39,6841;71,7;45,5;36;5,7;32;24,6;13,8;;40,6;62,753889;33,3;;45,1;3,51992;16,3;43,4;36,1;40,7;23,2;61,1;68,6;89,5;53,7;39,3;35,2;47,6;43,5;59,9927;3,59084;19,6261;29,4733;47,9;68,7835;37,2134;31,8385;103,235;52,8083;34,1823;72,2752;44,6144;26,0223;9,39854;4,5;51,6447;66,317;14,0708;37,0238;12,8;1,59;7,1;27,1;45,79;61,2;27,4;29,36;36,47;88,56;61,91;71,09;68,545811;29,4878;48,4124;53,6797;49,524;61;1,8;33,5;51,1;6,70249;4,04335;29,0204;29,8899;14,4296;86,6334;28,7118;43,6743;47,2834;64,7947;41,1333;38,3796;48,6827;14,5877;8,81646;26,5563;45,4518;9,4;93,6;35,8;56;30,8;3,365;47,3435;86,3725;22,7438;59,0403;35,7344;71,0335;110,848;84,9533;37,5441;45,0048;46,6857;9,13458;64,8588;73,261;4,61642;25,5332;25,5029;33,4691;30,6019;5,45664;45,5656;48,824;2,57;22,8868;46,5041;6,7955;25,3108;16,8185;27,1072;78,9714;72,5666;38,7116;30,1469;27,3763;2,90252;36,5022;50,3187;93,2236;5,66802
11.09.2020 21:00;26,5938;25,522;38,4052;22,543;41,0943;7,90453;;74,6716;15,8765;37,7423;54,9;44,4;29,2;7,7;29,7;17,4;10,6;;33,7;42,526303;44,2;;39,9;4,13208;11,4;37,3;34,8;35,8;23,4;62,2;34,9;65,6;66,8;33,6;46,3;39,4;31;49,652;3,47033;14,2263;28,9764;45,4;61,5661;11,7519;50,8066;80,2302;55,9174;38,0897;73,331;34,9195;29,9122;29,8336;3,3;48,2212;55,5197;15,6792;26,8041;17,7;2,29;5;22;32,79;61,8;21,6;32,46;49,97;84,16;58,61;63,29;60,245981;28,0389;40,9556;31,6166;43,603;41,7;1,6;37,5;42,9;9,90184;4,32696;23,9006;20,9874;10,5776;82,7855;49,8523;38,4874;44,7354;60,5305;47,9115;29,9188;37,9119;11,2663;7,39765;20,1746;29,8152;9,8;84;23;41;20,5;2,895;39,544;67,7071;27,6465;53,0165;38,2985;71,9549;104,576;67,7485;52,1335;50,2707;32,7212;5,47846;61,3051;55,3228;5,07689;18,8242;21,3655;21,2944;19,3618;4,29244;38,9538;46,196;2,55;31,8044;47,0616;8,6682;27,0763;11,2463;20,1953;60,7665;63,6828;37,7854;25,786;16,6357;1,29538;25,5061;23,6228;92,6441;5,4322
11.09.2020 22:00;19,1827;23,3482;35,9068;;23,2101;14,4133;29,1904;65,9619;10,9361;28,7894;46,2;50,3;31,9;7,8;27,2;21,5;9,2;;36,5;31,128468;17,3;;31,8;4,47642;7,3;32;27,4;29,9;22,5;41,9;32,9;44,2;39,6;32,5;48,8;32,4;29;42,0656;3,41287;7,00429;24,9361;38,4;50,709;13,9231;52,6793;57,8468;49,4713;33,1711;70,1752;26,8827;23,1474;39,068;3,2;41,6742;43,6918;16,158;25,2501;16,7;2,59;4;22,4;28,19;57,6;24,7;23,16;59,97;64,06;59,01;56,89;52,946151;22,0985;33,1261;24,3226;43,9011;34,2;2;13,8;36,1;7,8478;3,24456;25,4451;16,4682;9,48891;73,7529;43,9687;35,0637;38,4429;54,2382;45,6036;19,0264;30,6223;11,0583;12,2351;14,5254;15,4746;7,6;76,1;14,2;37;21,8;2,575;24,8909;57,5379;33,2337;45,4879;38,4645;64,9305;99,2051;55,7396;41,2936;63,6818;23,4879;6,51132;49,2855;45,7387;4,95686;15,9243;34,356;15,1858;15,4599;3,56907;35,1277;45,9432;2,32;39,9301;39,2127;8,2502;24,397;13,5298;25,0871;45,9114;54,0549;32,8259;17,2133;10,9399;0,92838;16,9711;20,2512;82,0933;4,61748
11.09.2020 23:00;16,5303;18,9086;32,9464;;21,4633;19,6118;30,2239;54,5329;10,1272;26,0202;39;44,5;17,7;7,4;18,4;16,1;7,6;;19,8;23,52502;14,7;;26,1;6,21725;5;27,1;26,3;25,7;24,6;33,5;23,7;30,4;32,3;45,6;43,1;13;17,4;16,3264;3,72478;6,00209;21,1436;35,5;42,3382;16,3747;42,3092;46,2784;38,0349;27,9704;58,3234;21,8473;22,8765;33,3198;2,4;28,7565;33,82;14,7253;21,8966;13,8;3,99;2,8;27,5;24,19;52,8;19,6;11,36;47,97;66,56;54,81;46,59;45,546322;19,7069;33,3483;27,3211;43,1213;9,5;1,9;15,1;31,4;9,42106;2,64653;21,2625;15,1016;7,31594;61,5703;30,7394;33,0354;22,0315;43,4322;47,1094;11,6321;20,0993;9,22002;12,6069;10,822;12,6439;9;50,4;12,9;31;17,7;2,38;21,0438;46,0006;39,2945;38,4323;34,8576;57,6075;74,5086;34,3108;29,7156;42,8086;27,9768;3,48265;40,4351;42,1538;4,74229;12,4142;21,8249;13,5949;18,4474;11,7492;31,6909;40,596;2,31;32,4051;31,1729;8,2344;23,2588;13,2258;26,2973;47,859;48,4486;29,2998;14,9524;8,49678;0,7239;4,66475;46,4953;78,6114;4,60473
12.09.2020 00:00;12,6229;13,9247;28,0565;;18,2698;24,1363;25,0251;47,7728;8,41333;25,8014;41,1;39,5;12,5;7,3;20,9;14,6;10,2;;13,6;22,463673;18;;18;6,96332;3,3;24,1;24,3;22,1;21;33,6;17,4;27;29,7;40,9;35,2;31,5;11,9;12,6538;4,25239;6,30748;17,6622;27,7;35,9727;19,7579;52,3304;42,4294;37,0752;25,6962;53,3161;16,3035;20,05;19,2756;1,6;29,6339;35,3964;10,4944;17,0524;13,8;8,19;4,3;22,5;20,59;48,5;18,9;10,36;44,37;49,66;47,11;39,09;39,446492;14,6677;26,7641;14,5145;36,5243;7,6;1,7;14,7;31;7,13182;2,57748;15,4033;9,99073;6,66811;36,0207;19,5979;15,1834;8,85553;22,3478;46,857;7,9517;15,7227;8,09855;9,79123;10,8591;11,4642;8,2;31,8;9,6;25;15,4;1,745;16,6946;40,6889;31,5066;33,4365;26,6303;53,2163;58,3914;36,2058;23,9323;30,9409;28,3592;3,94276;29,226;43,7449;4,75663;9,35021;14,3442;10,9332;18,5244;13,2767;23,2398;35,7363;2,34;29,571;26,071;8,5724;19,9948;11,8085;24,1435;50,9012;39,0035;25,7015;10,6955;6,64554;1,40638;3,44213;42,7777;74,3147;5,51134
12.09.2020 01:00;12,5555;13,4079;22,7778;;20,7624;21,979;;51,624;10,4448;25,7037;42,5;33,2;8,9;6,3;11,1;13,3;8,9;;14,6;17,32502;16,6;;13,3;7,80504;2,3;22,6;21,4;19,8;20,6;33,2;18;27,2;24,8;24,4;29,2;20,7;10,4;11,3042;4,06656;5,5379;19,6714;22,7;30,3901;15,9987;50,9703;38,2915;26,1769;17,6239;40,9582;14,1637;17,7216;18,1125;1,8;25,5725;27,7243;8,16188;15,9891;14,3;13,19;3,9;18,7;18,69;45,6;24,2;19,86;41,67;39,46;39,11;35,99;33,646662;13,1014;18,4647;10,0236;28,228;18,2;2;10,2;27,6;5,85197;2,08886;15,3836;6,85293;3,99678;27,5919;15,4691;12,189;4,5464;14,5287;44,583;5,94571;10,5539;6,75765;10,4269;7,47198;9,10057;7,6;26,9;8,4;22;10,9;1,95;14,3808;33,9369;27,6505;30,4054;23,4531;48,4766;59,0229;32,9029;22,7155;31,9384;23,9048;2,50106;26,9374;38,6083;5,77052;7,12167;5,88896;8,55881;19,6278;4,60739;24,2086;21,7293;2,1;29,9733;16,7964;9,6513;17,6345;11,2147;23,4723;42,2849;35,9958;21,8547;7,07865;5,83187;2,08408;4,62173;34,5131;60,6375;5,7275
12.09.2020 02:00;9,08519;11,686;23,6923;;17,5895;14,8939;;37,6701;6,85558;18,0578;41,2;34;8,9;5,5;9,1;12,2;6,4;;12,8;14,951163;18;;10,4;7,11636;1,7;16,8;17,8;15,2;20,8;34,3;17,9;30,9;23,9;17,5;30,5;29,7;10,2;11,0078;4,13045;5,51453;12,1314;20,9;20,0878;13,0733;47,2409;31,2219;20,9395;16,244;38,9538;9,8553;12,3521;18,3053;1;29,9143;23,6299;8,10836;14,1361;12;15,69;3,7;19,5;15,29;36,6;34,7;36,96;27,57;32,86;37,11;36,19;30,946832;15,1069;15,3472;13,1341;26,9433;20,4;2,4;10,7;21,2;5,36788;1,54288;15,2819;5,55808;3,60853;20,2908;12,2093;11,1071;4,26985;24,1241;40,2177;5,50306;8,94593;5,50847;6,47303;9,40156;7,95595;8;27;7,8;21;8,5;2,415;11,2072;24,1273;27,22;27,2619;18,8456;36,4337;44,1436;28,5031;18,7476;24,0567;22,3263;2,34374;22,1277;35,8063;7,08396;6,26286;9,58443;7,5848;17,919;4,04972;20,4327;25,9368;1,96;27,8419;15,733;15,7796;;11,2318;18,44;36,9744;31,569;19,0334;8,14406;7,38298;2,3507;8,64118;10,5985;46,4297;4,8448
12.09.2020 03:00;7,41413;11,0715;23,8708;;20,6229;11,5549;;32,1667;5,719;15,322;38,6;31,9;9,2;5,6;11,3;10,5;7;;10,2;14,657979;22,8;;9,7;5,75813;1,2;14;16,3;13,1;19,5;32;21,6;33,9;25,8;18,6;25,9;16,7;10,4;8,3103;3,59042;7,17903;9,55139;17,9;19,573;10,3453;43,1008;26,2927;21,6761;13,3107;34,2816;10,1437;10,9738;13,3022;1;24,2728;19,0477;8,19396;14,5817;10,8;15,49;4,9;23,4;11,49;30,6;37,1;36,76;32,27;30,06;36,71;33,49;30,147003;12,6335;12,1481;16,154;46,2443;12;2,1;11,5;17,6;5,26403;2,32742;10,9911;4,40822;3,15933;10,999;7,9164;11,0943;4,37593;28,4761;29,4693;4,56566;9,5023;6,15062;4,9971;7,07649;7,05472;7,4;21;7,6;18;10,3;1,42;9,12228;20,4499;24,9245;25,4277;16,8838;33,8052;56,8045;20,8089;19,1068;28,1176;19,726;2,02088;19,1343;33,9898;6,44663;5,75034;9,83246;5,96703;19,4361;7,50885;12,2755;26,0186;2,21;20,9165;17,8769;16,246;16,4326;10,4641;17,4706;29,8543;27,4055;15,9567;7,96773;8,33907;2,92855;12,3143;13,4657;22,8933;4,39707
12.09.2020 04:00;4,65361;10,0874;22,6338;;20,4801;10,1591;;34,2227;6,22834;19,7998;35,5;25,8;8,4;5,4;12,3;10,4;6,4;;9,1;12,804571;23,4;;11,5;6,82941;0,9;13;15,9;12,8;18,7;30,7;25,3;35,5;29,1;10,8;22,2;14,3;16,6;10,3413;3,59881;6,88373;8,20778;13,8;20,0815;8,83487;37,3735;23,5426;19,1507;12,5719;32,1885;6,82265;9,98276;11,6212;1;23,414;16,9305;17,0437;14,4643;13,7;17,19;6,9;22,9;8,29;24,6;32,1;29,66;31,27;32,96;27,41;30,59;25,147173;11,523;12,4285;16,1763;47,9516;7,1;1,9;19,6;21,7;5,06602;1,5466;9,94663;4,70671;3,01766;9,9277;7,68389;13,1412;5,9854;23,1399;25,2869;4,66294;9,24829;4,97487;5,22045;7,47918;7,72267;7,1;23;5,9;18;10,4;1,6;7,70633;22,9153;25,9926;23,6464;14,1983;37,446;56,4029;17,9696;20,1115;27,8716;21,4149;2,71419;16,0438;32,1806;5,31802;5,19852;9,22168;7,23958;22,6015;4,20428;10,2834;18,3318;2,28;17,9291;16,4609;16,2958;18,71;11,3285;15,4503;28,5408;22,7064;16,7454;9,03792;8,16147;3,10116;19,4302;15,334;14,0673;4,48311
12.09.2020 05:00;4,05132;9,71986;23,1464;;22,1716;9,91584;;40,6242;7,41909;18,4306;35,7;28,3;9,5;5,1;18,6;12,7;8,9;;11,5;18,472815;25,6;;13,3;6,38942;0,4;14,1;17,7;14,1;14,1;31,2;31,9;43,2;28;8,3;20,9;15,9;23,3;11,8305;3,20255;7,49663;8,34194;11,9;20,6004;9,34497;37,8572;23,1554;21,598;10,84;31,9734;7,29375;7,98366;14,058;1;20,9815;16,4149;17,3795;16,8952;21,6;16,89;9,9;20,8;8,59;21,4;27,2;24,36;31,97;34,66;27,01;26,89;23,547343;15,4362;18,9325;18,6867;46,9514;7,8;1,5;20,2;18,5;7,9334;1,11533;7,05897;5,80558;2,98778;8,8974;7,11836;17,8775;15,9584;27,5982;27,1155;11,8819;13,2061;5,34247;6,33553;9,83207;9,38649;6,6;39,1;8,3;15;11,2;1,195;10,7514;28,5414;25,9867;21,8689;12,6546;48,3497;58,7855;21,8887;25,1932;28,16;20,8987;3,51457;15,424;30,3951;3,94562;5,58038;8,83663;9,8673;23,4535;14,6666;14,5779;27,0723;2,25;17,4376;19,7458;17,0625;18,0409;10,1426;11,6674;29,3126;23,7779;17,3201;9,81334;7,83298;3,31785;8,13397;19,1455;17,0843;4,99085
12.09.2020 06:00;4,24676;8,6518;22,7347;;21,4271;9,55522;;38,9336;9,71933;24,0439;35,1;26,7;10,1;7,9;18,4;16,4;9,8;;13,1;19,911468;20,9;;14;4,61033;0,6;16,7;14,9;15,3;15,7;30,5;37,9;40,1;29;11,2;17,2;18;25,3;18,8279;2,20385;6,24587;9,01861;11,1;25,9205;14,3681;33,2961;26,4408;22,8817;9,83671;30,0529;8,90355;8,5153;14,5556;1,1;20,2932;19,5923;22,7879;20,0346;11,5;14,39;7,5;18,8;8,39;22,3;25,8;22,46;34,07;36,76;27,31;24,69;25,947514;16,7475;23,1701;22,3266;39,6018;8,9;1,5;29,8;20,6;9,9534;1,4032;7,68178;5,40671;2,49061;10,6198;7,88096;22,9273;23,0049;30,9678;33,248;11,7325;20,8039;6,60148;7,01165;7,21792;;4,3;41,2;9,2;13;14,6;1,345;12,5029;33,1158;24,9043;23,3891;11,0219;47,8706;59,0459;24,7535;25,3757;28,5254;23,6539;10,8858;17,8294;31,692;3,34228;7,71545;5,77105;12,9538;21,9089;17,1119;12,9639;41,612;3,58;20,122;21,8195;21,0307;20,5869;12,4789;9,21129;31,3228;30,5046;20,3421;13,5752;9,61138;3,98599;9,05279;17,424;21,9997;8,22479
